序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,002182,宝武镁业,2021-09-06,12.506,2021-09-15,15.206,39900,21.4688%,107182.84,7,信号
61,600570,恒生电子,2021-09-06,42.846,2021-09-15,41.727,11600,-2.7097%,-13474.25,7,信号
62,603218,日月股份,2021-09-06,33.054,2021-09-13,30.512,15100,-7.7822%,-38860.83,5,信号
63,600030,中信证券,2021-09-08,22.687,2021-09-14,22.883,22000,0.7596%,3793.46,4,信号
64,600111,北方稀土,2021-09-10,58.741,2021-09-16,55.124,8500,-6.2512%,-31227.85,4,信号
65,603993,洛阳钼业,2021-09-13,7.157,2021-09-17,6.65,67700,-7.1759%,-34784.67,4,信号
66,600019,宝钢股份,2021-09-14,10.045,2021-10-25,6.1,49700,-39.3346%,-196471.26,22,信号
67,600338,西藏珠峰,2021-09-14,44.757,2021-09-17,42.404,11100,-5.3532%,-26608.48,3,信号
68,600352,浙江龙盛,2021-09-14,13.179,2021-09-17,13.555,37900,2.7551%,13767.79,3,信号
69,601600,中国铝业,2021-09-14,9.22,2021-10-25,6.112,54200,-33.7734%,-168850.93,22,信号
70,603260,合盛硅业,2021-09-14,227.602,2021-09-17,217.379,2100,-4.5869%,-21934.45,3,信号
71,300223,君正股份,2021-09-15,134.957,2021-10-13,122.269,3700,-9.4925%,-47423.73,13,信号
72,300339,润和软件,2021-09-15,32.667,2021-09-23,26.828,15300,-17.9585%,-89803.25,4,信号
73,300393,中来股份,2021-09-15,16.83,2021-09-17,14.795,29700,-12.1839%,-60933.25,2,信号
74,600596,新安股份,2021-09-15,29.401,2021-09-22,26.608,17000,-9.5902%,-47957.13,3,信号
75,600773,西藏城投,2021-09-15,34.733,2021-09-22,31.42,14300,-9.6290%,-47849.99,3,信号
76,603259,药明康德,2021-09-15,135.609,2021-09-24,143.769,3600,5.9116%,28874.23,5,信号
77,000009,中国宝安,2021-09-16,21.406,2021-09-28,18.666,23300,-12.8876%,-64309.65,6,信号
78,002202,金风科技,2021-09-16,18.2,2021-09-23,18.082,27400,-0.7484%,-3734.13,3,信号
79,002460,赣锋锂业,2021-09-16,137.032,2021-10-13,107.168,3600,-21.8716%,-107950.30,12,信号
80,000876,新希望,2021-09-17,12.892,2021-09-23,12.66,38700,-1.9037%,-9502.86,2,信号
81,000998,隆平高科,2021-09-17,22.669,2021-10-18,20.308,22000,-10.5066%,-52425.48,14,信号
82,002261,拓维信息,2021-09-17,9.165,2021-10-25,8.706,54500,-5.1026%,-25498.92,19,信号
83,002304,洋河股份,2021-09-17,155.563,2021-09-23,149.91,3200,-3.7301%,-18577.51,2,信号
84,300809,华辰装备,2021-09-17,35.634,2021-10-28,32.407,10800,-9.1470%,-35219.23,22,信号
85,600406,国电南瑞,2021-09-17,20.585,2021-09-28,21.335,24200,3.5400%,17643.72,5,信号
86,603486,科沃斯,2021-09-17,148.41,2021-09-23,143.574,3300,-3.3552%,-16440.54,2,信号
87,300142,沃森生物,2021-09-22,70.683,2021-10-12,58.449,7000,-17.3916%,-86093.90,9,信号
88,600519,贵州茅台,2021-09-22,1436.607,2021-10-18,1664.226,300,15.7285%,67820.73,13,信号
89,600905,三峡能源,2021-09-22,6.452,2021-10-12,6.376,77400,-1.2831%,-6410.89,9,信号
90,002411,必康退,2021-09-23,17.599,2021-11-03,13.573,28400,-22.9513%,-114769.26,24,信号
91,300343,联创股份,2021-09-23,29.815,2021-11-03,24.218,15500,-18.8537%,-87172.49,24,信号
92,600150,中国船舶,2021-09-23,27.529,2021-09-28,25.592,18100,-7.1276%,-35532.48,3,信号
93,600276,恒瑞医药,2021-09-23,47.105,2021-10-14,51.505,10600,9.2331%,46124.72,10,信号
94,601985,中国核电,2021-09-23,6.918,2021-09-27,6.992,72200,0.9548%,4771.70,2,信号
95,600010,包钢股份,2021-09-24,3.751,2021-09-28,3.067,133300,-18.3017%,-91552.86,2,信号
96,000568,泸州老窖,2021-09-27,179.913,2021-10-18,209.728,2700,16.4555%,79974.95,10,信号
97,000858,五粮液,2021-09-28,198.043,2021-10-18,202.473,2500,2.1346%,10573.71,9,信号
98,300014,亿纬锂能,2021-09-28,90.85,2021-10-22,111.859,5500,23.0014%,114990.07,13,信号
99,601318,中国平安,2021-09-28,36.634,2021-10-18,38.687,9900,5.4967%,19945.32,9,信号
100,601888,中国中免,2021-09-28,249.425,2021-10-19,253.553,2000,1.5536%,7754.04,10,信号
101,600036,招商银行,2021-09-30,42.173,2021-10-19,42.98,9000,1.8127%,6883.62,8,信号
102,000063,中兴通讯,2021-10-12,31.998,2021-10-19,31.136,12700,-2.7898%,-11342.80,5,信号
103,600893,航发动力,2021-10-12,52.817,2021-10-29,55.383,9400,4.7533%,23610.91,13,信号
104,000422,湖北宜化,2021-10-13,19.34,2021-11-02,31.114,25800,60.7232%,303138.21,14,信号
105,600048,保利发展,2021-10-13,12.506,2021-10-27,11.524,27200,-7.9443%,-27037.62,10,信号
106,601012,隆基绿能,2021-10-14,58.581,2021-10-25,59.657,8500,1.7348%,8642.47,7,信号
107,000799,酒鬼酒,2021-10-18,240.61,2021-10-27,223.498,1900,-7.2048%,-32953.80,7,信号
108,002240,盛新锂能,2021-10-18,58.932,2021-10-28,60.133,8400,1.9350%,9583.85,8,信号
109,002714,牧原股份,2021-10-18,51.469,2021-10-21,53.866,9700,4.5532%,22743.25,3,信号
110,300059,东方财富,2021-10-18,23.309,2021-10-21,22.925,21400,-1.7463%,-8714.79,3,信号
111,600460,士兰微,2021-10-18,61.091,2021-10-28,60.42,8100,-1.1968%,-5925.23,8,信号
112,002176,江特电机,2021-10-19,21.441,2021-11-01,23.178,23300,7.9966%,39968.36,9,信号
113,600171,上海贝岭,2021-10-19,34.737,2021-10-26,31.144,8300,-10.4328%,-30094.81,5,信号
