序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,300316,晶盛机电,2021-09-16,68.486,2021-09-30,62.281,7300,-9.1517%,-45776.59,8,止损
61,300346,南大光电,2021-09-16,37.613,2021-09-28,33.73,13200,-10.4124%,-51722.11,6,止损
62,600570,恒生电子,2021-09-16,40.768,2021-10-26,45.302,12200,11.0102%,54789.32,21,到期
63,601211,国泰海通,2021-09-16,15.918,2021-10-26,15.712,31400,-1.3916%,-6959.18,21,到期
64,601377,兴业证券,2021-09-16,9.013,2021-09-27,8.391,55400,-6.9913%,-34924.33,5,止损
65,002797,第一创业,2021-09-17,7.076,2021-10-27,6.699,70600,-5.4212%,-27094.45,21,到期
66,601899,紫金矿业,2021-09-17,9.195,2021-09-28,8.506,54300,-7.5844%,-37885.12,5,止损
67,300750,宁德时代,2021-09-22,253.054,2021-10-18,300.778,1900,18.7400%,90147.70,13,止盈
68,000878,云南铜业,2021-09-23,15.088,2021-09-27,13.853,33100,-8.2738%,-41339.92,2,止损
69,600346,恒力石化,2021-09-23,26.213,2021-09-27,24.508,19000,-6.5992%,-32883.69,2,止损
70,601919,中远海控,2021-09-23,13.597,2021-09-28,11.044,36700,-18.8527%,-94122.31,3,止损
71,002312,川发龙蟒,2021-09-27,16.177,2021-09-29,13.452,30900,-16.9268%,-84654.53,2,止损
72,002738,中矿资源,2021-09-27,29.97,2021-09-29,24.908,16600,-16.9748%,-84491.95,2,止损
73,600499,科达制造,2021-09-27,17.561,2021-09-29,14.725,28400,-16.2342%,-81004.89,2,止损
74,601678,滨化股份,2021-09-27,11.397,2021-09-29,10.096,43800,-11.5019%,-57443.36,2,止损
75,000572,海马汽车,2021-09-28,6.953,2021-09-30,6.097,71900,-12.4056%,-62053.31,2,止损
76,002202,金风科技,2021-09-28,16.309,2021-10-12,14.974,30600,-8.2813%,-41349.24,5,止损
77,002267,陕天然气,2021-09-28,6.793,2021-10-13,6.347,73600,-6.6670%,-33351.11,6,止损
78,300513,恒实科技,2021-09-28,11.751,2021-10-11,13.188,42500,12.1212%,60565.07,4,止盈
79,300830,金现代,2021-09-28,10.886,2021-09-30,14.344,45900,31.6269%,158114.89,2,止盈
80,600722,金牛化工,2021-09-28,6.853,2021-09-30,6.547,72900,-4.5706%,-22846.87,2,止损
81,002326,永太科技,2021-09-29,53.537,2021-10-13,49.075,9300,-8.4248%,-41967.28,5,止损
82,002411,必康退,2021-09-29,14.007,2021-10-11,15.882,35600,13.2732%,66219.93,3,止盈
83,601989,中国重工,2021-09-29,4.521,2021-10-13,4.217,110500,-6.8252%,-34115.56,5,止损
84,603077,和邦生物,2021-09-29,3.745,2021-10-29,3.391,133500,-9.5319%,-47677.67,17,止损
85,002384,东山精密,2021-09-30,20.273,2021-10-19,18.674,24600,-7.9817%,-39826.08,8,止损
86,300035,中科电气,2021-09-30,28.172,2021-10-13,26.235,17700,-6.9694%,-34769.99,4,止损
87,300999,金龙鱼,2021-09-30,69.269,2021-10-19,61.383,7200,-11.4723%,-57244.68,8,止损
88,600875,东方电气,2021-09-30,15.435,2021-10-11,14.43,32300,-6.6043%,-32941.62,2,止损
89,603501,豪威集团,2021-09-30,179.292,2021-10-13,165.956,2700,-7.5305%,-36472.26,4,止损
90,600028,中国石化,2021-10-08,3.126,2021-10-14,2.833,159900,-9.4642%,-47323.70,4,止损
91,000966,长源电力,2021-10-11,9.1,2021-10-14,7.841,54900,-13.9162%,-69555.02,3,止损
92,601727,上海电气,2021-10-11,5.059,2021-10-13,4.744,98800,-6.3189%,-31596.45,2,止损
93,603105,芯能科技,2021-10-11,13.267,2021-10-18,16.142,37600,21.5515%,107558.21,5,止盈
94,601985,中国核电,2021-10-12,5.948,2021-10-14,5.372,84000,-9.7685%,-48830.89,2,止损
95,000539,粤电力Ａ,2021-10-13,4.532,2021-10-15,3.998,110300,-11.8762%,-59399.87,2,止损
96,002665,ST航高,2021-10-13,3.092,2021-10-26,3.548,161700,14.6572%,73308.33,9,止盈
97,300037,新宙邦,2021-10-13,79.894,2021-10-15,73.723,6200,-7.8160%,-38735.22,2,止损
98,600170,上海建工,2021-10-13,2.971,2021-11-11,2.819,168200,-5.2402%,-26203.88,21,到期
99,600588,用友网络,2021-10-13,33.677,2021-10-27,31.554,14800,-6.3965%,-31897.41,10,止损
100,600979,广安爱众,2021-10-13,3.236,2021-10-15,3.002,154500,-7.2975%,-36498.78,2,止损
101,300339,润和软件,2021-10-14,28.575,2021-10-18,27.227,17400,-4.8123%,-23938.96,2,止损
102,600733,北汽蓝谷,2021-10-14,13.167,2021-11-08,11.994,37900,-8.9968%,-44917.57,17,止损
103,600900,长江电力,2021-10-14,16.459,2021-11-12,15.733,30300,-4.5070%,-22488.42,21,到期
104,601619,嘉泽新能,2021-10-14,4.962,2021-11-12,4.868,100700,-2.0107%,-10052.88,21,到期
105,002475,立讯精密,2021-10-15,34.78,2021-11-05,40.153,11200,15.3316%,59752.73,15,止盈
106,600171,上海贝岭,2021-10-15,30.705,2021-10-25,31.604,16200,2.8244%,14056.58,6,止盈
107,600703,三安光电,2021-10-15,32.899,2021-10-22,30.348,15100,-7.8480%,-39007.02,5,止损
108,000862,银星能源,2021-10-18,7.564,2021-10-20,8.526,66100,12.6053%,63053.47,2,止盈
109,002701,奥瑞金,2021-10-18,5.568,2021-11-02,6.922,89800,24.1898%,121006.43,11,止盈
110,601628,中国人寿,2021-10-18,28.488,2021-11-01,26.401,17500,-7.4200%,-37010.55,10,止损
111,002511,中顺洁柔,2021-10-19,17.338,2021-10-29,15.571,28800,-10.2783%,-51347.76,8,止损
112,600872,中炬高新,2021-10-19,30.596,2021-11-01,33.354,16300,8.9053%,44434.59,9,止盈
113,601888,中国中免,2021-10-20,258.779,2021-11-02,224.188,1900,-13.4538%,-66182.62,9,止损
114,600779,水井坊,2021-10-22,124.956,2021-11-22,123.322,4000,-1.4064%,-7033.11,21,到期
115,603986,兆易创新,2021-10-22,145.303,2021-11-01,166.147,3400,14.2311%,70341.05,6,止盈
116,002385,大北农,2021-10-25,8.156,2021-11-04,9.437,61300,15.5929%,77998.51,8,止盈
117,600809,山西汾酒,2021-10-25,305.002,2021-10-29,288.196,1600,-5.6048%,-27365.11,4,止损
118,600032,浙江新能,2021-10-26,15.289,2021-11-05,17.122,32700,11.8825%,59435.14,8,止盈
119,600362,江西铜业,2021-10-26,21.43,2021-10-29,19.699,23300,-8.1674%,-40801.29,3,止损
120,600435,北方导航,2021-10-26,9.495,2021-11-10,10.945,52600,15.1541%,75720.88,11,止盈
121,000651,格力电器,2021-10-27,26.795,2021-11-03,25.129,18600,-6.3111%,-31469.79,5,止损
122,600312,平高电气,2021-10-27,7.931,2021-11-03,7.263,63000,-8.5091%,-42537.23,5,止损
123,000738,航发控制,2021-10-29,25.71,2021-11-10,28.763,19400,11.7621%,58695.22,8,止盈
124,300459,汤姆猫,2021-10-29,3.912,2021-11-02,4.558,127800,16.3910%,81987.55,2,止盈
125,601155,新城控股,2021-10-29,35.028,2021-11-02,32.864,13800,-6.2716%,-30330.89,2,止损
126,601166,兴业银行,2021-10-29,13.958,2021-11-03,12.635,35800,-9.5710%,-47850.01,3,止损
127,300091,ST金灵,2021-11-01,4.36,2021-11-15,4.921,114600,12.7390%,63685.41,10,止盈
128,300390,天华新能,2021-11-01,78.462,2021-11-03,72.618,6300,-7.5414%,-37296.49,2,止损
129,600392,盛和资源,2021-11-01,19.41,2021-11-03,18.231,25700,-6.1672%,-30779.36,2,止损
130,002622,皓宸医疗,2021-11-02,4.582,2021-11-11,5.277,109100,15.0535%,75294.29,7,止盈
131,300346,南大光电,2021-11-02,33.213,2021-11-15,37.478,15000,12.7307%,63454.62,9,止盈
132,600027,华电国际,2021-11-02,3.252,2021-11-04,3.038,153700,-6.6484%,-33243.78,2,止损
133,601360,三六零,2021-11-02,11.56,2021-12-01,11.498,43200,-0.6317%,-3156.11,21,到期
134,000537,绿发电力,2021-11-03,15.002,2021-11-16,17.146,33300,14.1762%,70857.42,9,止盈
135,000543,皖能电力,2021-11-03,3.115,2021-11-08,2.922,160500,-6.2910%,-31463.79,3,止损
136,003027,同兴科技,2021-11-03,22.472,2021-12-02,24.239,20700,7.7536%,36086.07,21,到期
137,600315,上海家化,2021-11-03,44.034,2021-11-11,40.562,11300,-7.9776%,-39714.92,6,止损
138,600483,福能股份,2021-11-03,10.836,2021-11-05,12.171,46100,12.2027%,60989.95,2,止盈
139,002812,恩捷股份,2021-11-04,287.054,2021-11-08,263.449,1700,-8.3150%,-40596.85,2,止损
