代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
688466,金科环境,2021-10-26,16.133,2021-11-10,16.042,30900,-3311.71,-0.6640%,11,到期
688626,翔宇医疗,2021-10-26,47.11,2021-10-28,43.744,10600,-36155.04,-7.2366%,2,止损
002331,皖通科技,2021-10-27,8.474,2021-10-29,7.776,59000,-41668.76,-8.3299%,2,止损
000023,ST深天,2021-10-29,11.886,2021-11-08,12.704,42000,33827.23,6.7728%,6,止盈
002345,潮宏基,2021-10-29,3.612,2021-11-03,3.358,138400,-35564.66,-7.1112%,3,止损
600637,东方明珠,2021-10-29,6.75,2021-11-15,6.704,74000,-3955.6,-0.7915%,11,到期
603232,格尔软件,2021-10-29,12.676,2021-11-11,13.793,39400,43479.09,8.7011%,9,止盈
605318,法狮龙,2021-10-29,11.927,2021-11-11,12.885,41900,39603.39,7.9208%,9,止盈
002153,石基信息,2021-11-01,12.85,2021-11-09,13.782,38900,35724.49,7.1430%,6,止盈
002203,海亮股份,2021-11-01,9.807,2021-11-04,10.597,50900,39681.45,7.9455%,3,止盈
002390,信邦制药,2021-11-01,6.56,2021-11-03,6.154,76200,-31448.81,-6.2880%,2,止损
002693,双成药业,2021-11-01,3.942,2021-11-16,4.178,126800,29402.39,5.8794%,11,到期
002739,儒意电影,2021-11-01,13.787,2021-11-16,14.493,36200,25040.27,5.0147%,11,到期
002781,奇信退,2021-11-01,5.913,2021-11-16,6.167,84500,20949.25,4.1907%,11,到期
300006,莱美药业,2021-11-01,5.713,2021-11-08,5.267,87500,-39460.76,-7.8902%,5,止损
300306,远方信息,2021-11-01,7.322,2021-11-15,7.914,68200,39880.92,7.9828%,10,止盈
603089,正裕工业,2021-11-01,7.324,2021-11-10,7.896,100,47.24,6.4065%,7,止盈
603616,韩建河山,2021-11-01,5.272,2021-11-16,5.366,94800,8471.52,1.6943%,11,到期
603838,ST四通,2021-11-01,7.064,2021-11-16,7.316,70700,17365.34,3.4756%,11,到期
603869,ST智知,2021-11-01,8.723,2021-11-16,10.144,57300,80857.88,16.1684%,11,止盈
605303,园林股份,2021-11-01,13.747,2021-11-16,14.393,11500,7266.39,4.5941%,11,到期
688608,恒玄科技,2021-11-01,113.143,2021-11-12,122.594,4400,41066.35,8.2450%,9,止盈
300396,ST迪瑞,2021-11-04,14.761,2021-11-19,15.076,32100,9635.2,2.0324%,11,到期
300659,中孚信息,2021-11-04,35.418,2021-11-17,38.401,14100,41541.15,8.3142%,9,止盈
600739,辽宁成大,2021-11-04,18.87,2021-11-19,18.112,26400,-20512.33,-4.1154%,11,到期
300721,怡达股份,2021-11-09,26.378,2021-11-22,29.692,18900,62104.05,12.4508%,9,止盈
600350,山东高速,2021-11-09,3.002,2021-11-24,2.979,166500,-4325.67,-0.8651%,11,到期
000949,新乡化纤,2021-11-10,5.774,2021-11-25,5.928,86500,12827.78,2.5671%,11,到期
601857,中国石油,2021-11-12,2.932,2021-11-29,2.76,170500,-29955.49,-5.9883%,11,到期
002805,丰元股份,2021-11-23,25.799,2021-11-29,31.32,19300,106012.57,21.2805%,4,止盈
600845,宝信软件,2021-12-01,32.947,2021-12-08,31.056,15100,-29037.35,-5.8337%,5,止损
002292,奥飞娱乐,2021-12-02,5.313,2021-12-13,5.897,94100,54464.15,10.8891%,7,止盈
002702,海欣食品,2021-12-02,5.493,2021-12-13,5.947,91000,40818.97,8.1623%,7,止盈
603899,晨光股份,2021-12-02,52.094,2021-12-09,56.95,9500,45609.07,9.2113%,5,止盈
603655,朗博科技,2021-12-09,24.012,2021-12-20,22.539,20800,-31128.25,-6.2294%,7,止损
688016,心脉医疗,2021-12-09,155.365,2021-12-24,148.764,3200,-21610.01,-4.3445%,11,到期
688580,伟思医疗,2021-12-09,62.876,2021-12-24,66.036,7900,24451.19,4.9200%,11,到期
688093,世华科技,2021-12-10,24.942,2021-12-27,24.625,20000,-6851.34,-1.3727%,11,到期
600973,宝胜股份,2021-12-14,6.063,2021-12-28,5.797,82400,-22401.27,-4.4817%,10,止损
002731,ST萃华,2021-12-16,9.174,2021-12-20,8.195,54500,-53811.57,-10.7578%,2,止损
603012,创力集团,2021-12-16,5.523,2021-12-31,5.677,90500,13466.4,2.6930%,11,到期
603108,润达医疗,2021-12-17,12.256,2021-12-27,11.724,40700,-22139.99,-4.4362%,6,止损
688798,艾为电子,2021-12-17,149.89,2022-01-04,153.001,3300,9768.36,1.9739%,11,到期
603005,晶方科技,2021-12-22,33.695,2022-01-06,31.375,14800,-34810.63,-6.9770%,10,止损
603067,振华股份,2021-12-23,7.82,2021-12-27,7.182,63900,-41215.64,-8.2441%,2,止损
688018,乐鑫科技,2021-12-23,66.582,2022-01-06,59.803,7500,-51317.88,-10.2714%,9,止损
000829,天音控股,2021-12-27,20.042,2021-12-29,18.333,24900,-43036.52,-8.6194%,2,止损
300390,天华新能,2021-12-28,56.812,2022-01-11,52.928,8800,-34669.7,-6.9312%,9,止损
688005,容百科技,2021-12-28,70.615,2022-01-04,84.195,7000,94515.3,19.1112%,4,止盈
003022,联泓新科,2021-12-29,36.178,2022-01-05,34.373,13800,-25399.6,-5.0849%,4,止损
300568,星源材质,2021-12-29,23.7,2022-01-10,21.901,21000,-38253.61,-7.6823%,7,止损
300618,寒锐钴业,2021-12-29,79.039,2022-01-14,76.462,6300,-16729.65,-3.3580%,11,到期
300890,翔丰华,2021-12-29,60.72,2022-01-06,55.372,8200,-44329.95,-8.8988%,5,止损
603165,荣晟环保,2021-12-29,15.393,2022-01-06,13.988,32400,-45987.92,-9.2165%,5,止损
688617,惠泰医疗,2022-01-04,127.765,2022-01-06,117.882,3900,-39022.01,-7.8274%,2,止损
688611,杭州柯林,2022-01-05,24.851,2022-01-10,23.457,20100,-28508.0,-5.7043%,3,止损
300109,新开源,2022-01-07,10.495,2022-01-19,10.077,47600,-20400.03,-4.0814%,8,止损
300360,炬华科技,2022-01-07,10.035,2022-01-11,9.145,49800,-44779.17,-8.9559%,2,止损
300617,安靠智电,2022-01-07,63.5,2022-01-11,59.658,7800,-30444.62,-6.1437%,2,止损
601799,星宇股份,2022-01-10,188.236,2022-01-20,177.623,2600,-28069.23,-5.7324%,8,止损
300438,鹏辉能源,2022-01-13,40.763,2022-01-18,44.001,12200,38981.86,7.8346%,3,止盈
603033,三维股份,2022-01-13,14.91,2022-01-20,13.949,33500,-32691.28,-6.5415%,5,止损
688408,中信博,2022-01-13,87.891,2022-01-17,81.72,5600,-35031.41,-7.1139%,2,止损
300567,精测电子,2022-01-17,59.846,2022-01-24,55.838,8300,-33745.17,-6.7902%,5,止损
600399,抚顺特钢,2022-01-17,17.995,2022-01-20,16.948,27700,-29498.9,-5.9150%,3,止损
688029,南微医学,2022-01-17,122.852,2022-01-20,117.039,4000,-23731.56,-4.8269%,3,止损
688037,芯源微,2022-01-17,64.175,2022-01-19,69.202,7700,38196.78,7.7260%,2,止盈
