序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
59,603993,洛阳钼业,2021-09-13,7.157,2021-09-22,6.17,67700,-13.8730%,-67248.19,5,止损
60,000155,川能动力,2021-09-14,35.798,2021-09-17,33.753,3200,-5.8062%,-6654.56,3,信号
61,002176,江特电机,2021-09-14,30.305,2021-09-17,28.546,16400,-5.8998%,-29337.15,3,止损
62,002407,多氟多,2021-09-15,40.03,2021-09-28,37.645,12400,-6.0516%,-30053.56,7,信号
63,600499,科达制造,2021-09-15,19.142,2021-09-27,17.543,26100,-8.4417%,-42195.46,6,止损
64,603260,合盛硅业,2021-09-15,241.609,2021-09-17,217.379,2000,-10.1183%,-48917.96,2,止损
65,600596,新安股份,2021-09-16,31.066,2021-09-22,26.608,16000,-14.4354%,-71786.75,2,止损
66,600773,西藏城投,2021-09-16,36.064,2021-09-22,31.42,13800,-12.9635%,-64549.27,2,止损
67,601615,明阳智能,2021-09-16,22.923,2021-10-08,24.2,21800,5.4627%,27312.70,9,信号
68,000519,中兵红箭,2021-09-17,22.276,2021-09-28,18.826,22400,-15.5744%,-77752.66,5,止损
69,002108,沧州明珠,2021-09-17,8.414,2021-09-23,7.746,23300,-8.0319%,-15754.53,2,止损
70,002132,恒星科技,2021-09-17,6.041,2021-09-24,5.555,82700,-8.1336%,-40655.00,3,止损
71,601126,四方股份,2021-09-17,14.752,2021-09-29,13.848,33800,-6.2237%,-31048.69,6,信号
72,603218,日月股份,2021-09-17,35.245,2021-09-30,32.901,14100,-6.7442%,-33531.84,7,止损
73,000155,川能动力,2021-09-22,37.339,2021-09-28,29.245,13300,-21.7536%,-108083.54,4,止损
74,002001,新和成,2021-09-22,22.231,2021-09-27,20.258,7200,-8.9671%,-14360.32,3,止损
75,002266,浙富控股,2021-09-22,7.166,2021-10-11,6.879,69700,-4.1015%,-20494.87,8,信号
76,300610,晨化股份,2021-09-22,21.472,2021-09-24,17.562,23200,-18.2895%,-91153.56,2,止损
77,601678,滨化股份,2021-09-22,12.927,2021-09-27,11.385,38600,-12.0173%,-59996.46,3,止损
78,600900,长江电力,2021-09-23,17.06,2021-10-14,16.443,10600,-3.7116%,-6715.12,10,信号
79,000400,许继电气,2021-09-24,21.197,2021-09-28,17.767,12900,-16.2632%,-44491.62,2,止损
80,600150,中国船舶,2021-09-24,28.639,2021-09-28,25.592,17400,-10.7289%,-53491.62,2,止损
81,600875,东方电气,2021-09-24,18.016,2021-09-28,15.099,27700,-16.2725%,-81247.28,2,止损
82,002434,万里扬,2021-09-27,10.475,2021-10-27,11.684,6300,11.4293%,7546.39,17,信号
83,002625,光启技术,2021-09-27,23.14,2021-09-30,21.697,21600,-6.3273%,-31640.47,3,信号
