序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
7838,300676,华大基因,2023-03-31,66.883,2023-04-07,73.033,9.0860%,9.1952%,4,止盈
7839,300677,英科医疗,2024-10-14,26.015,2024-10-29,26.929,3.4081%,3.5115%,11,到期
7840,300678,中科信息,2021-12-07,14.454,2021-12-22,13.786,-4.7177%,-4.6223%,11,到期
7841,300678,中科信息,2023-06-06,47.874,2023-06-08,51.714,7.9135%,8.0215%,2,止盈
7842,300678,中科信息,2024-10-15,33.547,2024-10-17,42.369,26.1715%,26.2977%,2,止盈
7843,300678,中科信息,2024-10-23,37.919,2024-11-06,44.338,16.8110%,16.9279%,10,止盈
7844,300681,英搏尔,2021-08-25,30.947,2021-08-31,28.069,-9.3919%,-9.3013%,4,止损
7845,300682,朗新科技,2025-06-23,19.21,2025-06-27,23.798,23.7626%,23.8865%,4,止盈
7846,300683,海特生物,2021-12-27,52.086,2021-12-31,60.84,16.6891%,16.8059%,4,止盈
7847,300683,海特生物,2024-05-20,26.103,2024-05-24,24.058,-7.9268%,-7.8346%,4,止损
7848,300683,海特生物,2025-09-01,48.204,2025-09-03,45.477,-5.7512%,-5.6569%,2,止损
7849,300686,智动力,2024-03-15,7.864,2024-04-01,7.986,1.4508%,1.5523%,11,到期
7850,300687,赛意信息,2025-04-08,24.202,2025-04-15,27.486,13.4562%,13.5697%,5,止盈
7851,300688,创业黑马,2021-10-28,22.439,2021-11-02,29.26,30.2680%,30.3983%,3,止盈
7852,300688,创业黑马,2024-11-04,28.454,2024-11-08,31.534,10.7136%,10.8244%,4,止盈
7853,300688,创业黑马,2024-12-25,34.007,2025-01-03,30.155,-11.4160%,-11.3273%,6,止损
7854,300689,澄天伟业,2021-08-19,27.083,2021-08-26,23.787,-12.2559%,-12.1681%,5,止损
7855,300689,澄天伟业,2022-09-27,16.142,2022-10-11,14.977,-7.3134%,-7.2206%,5,止损
7856,300689,澄天伟业,2024-06-28,14.562,2024-07-04,13.328,-8.5651%,-8.4736%,4,止损
7857,300689,澄天伟业,2025-06-19,47.149,2025-06-27,41.334,-12.4194%,-12.3317%,6,止损
7858,300690,双一科技,2021-09-24,29.488,2021-10-12,26.73,-9.4440%,-9.3534%,7,止损
7859,300690,双一科技,2022-07-26,23.055,2022-08-10,22.622,-1.9756%,-1.8775%,11,到期
7860,300690,双一科技,2024-03-28,19.423,2024-04-01,21.582,11.0073%,11.1184%,2,止盈
7861,300691,联合光电,2024-08-22,14.927,2024-09-06,15.302,2.4089%,2.5114%,11,到期
7862,300692,中赋科技,2024-11-13,6.401,2024-11-28,6.245,-2.5396%,-2.4421%,11,到期
7863,300692,中赋科技,2025-10-17,8.521,2025-11-03,8.873,4.0186%,4.1227%,11,到期
