序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
11857,688501,青达环保,2021-12-20,9.224,2022-01-17,12.092,30.9668%,31.0978%,19,信号
11858,688501,青达环保,2022-09-07,15.359,2022-09-21,13.503,-12.1686%,-12.0807%,9,止损
11859,688501,青达环保,2024-12-09,10.691,2024-12-13,10.259,-4.1410%,-4.0451%,4,信号
11860,688503,聚和材料,2026-02-11,89.922,2026-03-06,89.422,-0.6551%,-0.5557%,11,信号
11861,688505,复旦张江,2023-09-12,10.265,2023-09-25,9.965,-3.0207%,-2.9236%,9,信号
11862,688506,百利天恒,2025-02-24,209.105,2025-03-13,209.215,-0.0470%,0.0530%,13,信号
11863,688506,百利天恒,2025-06-03,300.25,2025-06-19,305.277,1.5727%,1.6743%,12,信号
11864,688507,索辰科技,2024-11-07,79.538,2024-11-15,68.754,-13.6449%,-13.5585%,6,止损
11865,688508,芯朋微,2024-05-31,34.628,2024-06-07,32.201,-7.1029%,-7.0099%,5,信号
11866,688508,芯朋微,2025-02-24,54.864,2025-03-06,54.03,-1.6194%,-1.5209%,8,信号
11867,688509,正元地信,2023-03-02,4.995,2023-03-21,5.0,0.0001%,0.1001%,13,信号
11868,688509,正元地信,2025-06-27,4.312,2025-07-30,4.588,6.2837%,6.3901%,23,信号
11869,688509,正元地信,2025-10-22,5.203,2025-10-30,4.718,-9.4121%,-9.3215%,6,止损
11870,688510,航亚科技,2021-08-24,29.315,2021-09-03,31.484,7.2937%,7.4011%,8,信号
11871,688510,航亚科技,2022-08-11,20.45,2022-08-17,18.961,-7.3772%,-7.2845%,4,信号
11872,688510,航亚科技,2023-04-27,16.948,2023-05-25,17.941,5.7505%,5.8563%,17,信号
11873,688510,航亚科技,2025-07-30,25.553,2025-08-14,25.287,-1.1376%,-1.0387%,11,信号
11874,688510,航亚科技,2026-02-24,43.562,2026-03-04,36.352,-16.6345%,-16.5511%,6,止损
11875,688511,天微电子,2024-04-25,14.53,2024-05-16,13.225,-9.0714%,-8.9804%,12,止损
11876,688511,天微电子,2025-07-01,14.122,2025-07-28,14.185,0.3446%,0.4450%,19,信号
11877,688511,天微电子,2025-07-31,16.016,2025-08-18,17.83,11.2153%,11.3266%,12,信号
11878,688512,慧智微-U,2024-11-06,12.056,2024-11-18,10.635,-11.8777%,-11.7895%,8,止损
