序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
189,000599,青岛双星,2022-06-08,5.193,2022-06-10,4.718,-9.2376%,-9.1468%,2,信号
190,000599,青岛双星,2022-08-04,5.903,2022-08-08,4.298,-27.2643%,-27.1915%,2,信号
191,000599,青岛双星,2025-10-29,7.984,2025-10-31,6.767,-15.3324%,-15.2477%,2,信号
192,000600,建投能源,2022-07-12,6.243,2022-07-14,5.237,-16.1934%,-16.1096%,2,信号
193,000601,韶能股份,2022-07-14,7.457,2022-07-18,5.78,-22.5621%,-22.4846%,2,信号
194,000601,韶能股份,2026-03-23,8.124,2026-03-27,8.316,2.2583%,2.3606%,4,信号
195,000603,盛达资源,2026-07-24,24.002,2026-07-28,23.788,-0.9902%,-0.8912%,2,信号
196,000605,渤海股份,2024-11-08,8.062,2024-11-12,7.764,-3.7915%,-3.6953%,2,信号
197,000605,渤海股份,2024-11-21,12.274,2024-11-26,10.923,-11.1007%,-11.0118%,3,信号
198,000607,华媒控股,2022-02-17,6.974,2022-02-21,5.848,-16.2343%,-16.1505%,2,信号
199,000607,华媒控股,2025-07-11,6.603,2025-07-15,5.747,-13.0529%,-12.9659%,2,信号
200,000608,阳光股份,2024-10-08,2.761,2024-10-10,2.229,-19.3644%,-19.2837%,2,信号
201,000609,ST中迪,2022-05-19,6.003,2022-05-24,5.357,-10.8452%,-10.7560%,3,信号
202,000609,ST中迪,2023-08-30,7.754,2023-09-01,6.457,-16.8117%,-16.7285%,2,信号
203,000610,ST西旅,2022-11-14,12.496,2022-11-16,12.004,-4.0352%,-3.9392%,2,信号
204,000610,ST西旅,2022-12-29,19.009,2023-01-03,18.501,-2.7736%,-2.6763%,2,信号
205,000611,天首退,2022-06-21,1.501,2022-06-23,1.529,1.7962%,1.8981%,2,信号
206,000613,东海A退,2022-06-14,0.67,2022-06-16,0.65,-3.1789%,-3.0820%,2,信号
207,000619,海螺新材,2022-06-08,8.394,2022-06-10,6.697,-20.3026%,-20.2228%,2,信号
208,000619,海螺新材,2022-07-21,9.855,2022-07-25,9.615,-2.5302%,-2.4326%,2,信号
209,000619,海螺新材,2024-12-04,7.003,2024-12-06,6.467,-7.7561%,-7.6638%,2,信号
210,000620,盈新发展,2022-01-11,3.012,2022-01-17,3.658,21.3517%,21.4732%,4,信号
211,000620,盈新发展,2022-01-25,4.002,2022-02-08,2.769,-30.8884%,-30.8192%,5,信号
212,000620,盈新发展,2022-02-11,3.832,2022-02-15,3.328,-13.2286%,-13.1417%,2,信号
213,000620,盈新发展,2022-03-21,3.322,2022-03-23,3.358,1.0026%,1.1037%,2,信号
214,000620,盈新发展,2022-04-11,4.142,2022-04-13,3.778,-8.8781%,-8.7869%,2,信号
215,000620,盈新发展,2022-09-19,3.282,2022-09-22,3.548,8.0154%,8.1235%,3,信号
216,000620,盈新发展,2022-12-30,3.812,2023-01-04,3.468,-9.1059%,-9.0149%,2,信号
217,000620,盈新发展,2024-05-24,2.581,2024-05-28,2.269,-12.1913%,-12.1034%,2,信号
218,000620,盈新发展,2024-11-08,2.651,2024-11-12,2.249,-15.2640%,-15.1792%,2,信号
219,000620,盈新发展,2025-10-29,3.252,2025-10-31,2.759,-15.2466%,-15.1618%,2,信号
220,000620,盈新发展,2025-11-06,3.612,2025-11-10,3.248,-10.1522%,-10.0623%,2,信号
221,000622,恒立退,2022-07-01,6.303,2022-07-05,4.738,-24.9122%,-24.8371%,2,信号
222,000626,远大控股,2025-04-15,6.553,2025-04-17,5.557,-15.2841%,-15.1993%,2,信号
223,000626,远大控股,2025-10-17,9.345,2025-10-22,9.715,3.8606%,3.9645%,3,信号
224,000627,ST天茂,2024-09-09,2.751,2024-09-11,2.599,-5.6435%,-5.5490%,2,信号
225,000628,高新发展,2022-06-07,16.536,2022-06-09,16.53,-0.1394%,-0.0395%,2,信号
226,000628,高新发展,2023-11-02,46.306,2023-11-06,45.18,-2.5286%,-2.4311%,2,信号
227,000628,高新发展,2024-02-21,47.717,2024-02-27,61.162,28.0497%,28.1778%,4,信号
228,000628,高新发展,2024-10-17,59.095,2024-10-21,59.815,1.1181%,1.2193%,2,信号
229,000629,钒钛股份,2022-07-06,5.573,2022-07-11,5.397,-3.2458%,-3.1490%,3,信号
230,000631,顺发恒能,2022-07-18,4.822,2022-07-20,4.588,-4.9621%,-4.8670%,2,信号
231,000631,顺发恒能,2023-10-25,3.839,2023-10-31,3.895,1.3608%,1.4622%,4,信号
232,000632,ST三木,2022-05-11,5.133,2022-05-18,4.978,-3.1180%,-3.0210%,5,信号
233,000632,ST三木,2022-11-30,5.503,2022-12-02,4.708,-14.5348%,-14.4492%,2,信号
234,000632,ST三木,2025-04-25,4.712,2025-04-30,3.198,-32.1952%,-32.1274%,3,信号
235,000632,ST三木,2025-11-13,7.234,2025-11-20,6.797,-6.1354%,-6.0414%,5,信号
236,000635,英力特,2022-06-01,11.005,2022-06-06,9.875,-10.3613%,-10.2716%,2,信号
237,000636,风华高科,2024-02-19,12.179,2024-02-21,11.037,-9.4641%,-9.3735%,2,信号
238,000637,茂化实华,2025-06-24,4.822,2025-06-26,4.148,-14.0725%,-13.9865%,2,信号
239,000638,ST万方,2022-10-14,6.883,2022-10-21,10.795,56.6631%,56.8198%,5,信号
240,000638,ST万方,2023-07-26,8.894,2023-07-28,7.236,-18.7229%,-18.6416%,2,信号
241,000638,ST万方,2024-01-17,9.315,2024-01-19,7.476,-19.8168%,-19.7366%,2,信号
242,000638,ST万方,2024-05-28,5.493,2024-05-31,4.048,-26.3769%,-26.3032%,3,信号
243,000639,ST西王,2022-03-23,6.133,2022-03-25,5.807,-5.4096%,-5.3150%,2,信号
244,000639,ST西王,2024-11-07,4.202,2024-11-12,4.328,2.8892%,2.9922%,3,信号
245,000655,金岭矿业,2025-07-11,9.809,2025-07-15,8.39,-14.5530%,-14.4675%,2,信号
246,000656,金科股份,2023-07-27,2.141,2023-07-31,2.269,5.8628%,5.9687%,2,信号
247,000656,金科股份,2026-07-07,1.491,2026-07-09,1.349,-9.5770%,-9.4865%,2,信号
248,000661,长春高新,2024-10-09,117.271,2024-10-11,107.728,-8.2290%,-8.1372%,2,信号
249,000665,湖北广电,2021-12-20,6.393,2021-12-23,6.287,-1.7616%,-1.6633%,3,信号
250,000665,湖北广电,2022-01-12,8.604,2022-01-14,9.545,10.8246%,10.9355%,2,信号
251,000665,湖北广电,2025-03-13,7.003,2025-03-17,6.887,-1.7681%,-1.6698%,2,信号
252,000668,荣丰控股,2024-02-22,7.644,2024-02-26,7.686,0.4533%,0.5538%,2,信号
253,000670,盈方微,2026-01-23,11.226,2026-01-27,9.345,-16.8332%,-16.7500%,2,信号
254,000671,ST阳光城,2022-03-22,2.881,2022-03-28,3.898,35.1461%,35.2813%,4,信号
255,000676,智度股份,2024-10-24,12.006,2024-10-28,10.845,-9.7640%,-9.6737%,2,信号
256,000676,智度股份,2026-07-20,6.553,2026-07-22,6.487,-1.1140%,-1.0151%,2,信号
257,000678,襄阳轴承,2022-07-29,9.685,2022-08-03,10.145,4.6458%,4.7506%,3,信号
258,000678,襄阳轴承,2023-07-03,8.884,2023-07-05,8.116,-8.7413%,-8.6500%,2,信号
259,000678,襄阳轴承,2025-03-13,12.936,2025-03-17,13.073,0.9579%,1.0590%,2,信号
260,000678,襄阳轴承,2025-03-20,17.509,2025-03-25,13.773,-21.4145%,-21.3358%,3,信号
261,000679,大连友谊,2022-04-15,5.713,2022-04-19,4.748,-16.9788%,-16.8958%,2,信号
262,000679,大连友谊,2022-12-16,8.384,2022-12-20,6.067,-27.7104%,-27.6380%,2,信号
263,000681,视觉中国,2021-09-09,16.204,2021-09-13,14.919,-8.0256%,-7.9336%,2,信号
264,000681,视觉中国,2024-12-16,27.986,2024-12-18,27.518,-1.7697%,-1.6714%,2,信号
265,000691,亚太实业,2024-04-26,3.845,2024-04-30,2.966,-22.9490%,-22.8719%,2,信号
266,000695,滨海能源,2021-10-12,13.027,2021-10-14,10.775,-17.3697%,-17.2871%,2,信号
267,000695,滨海能源,2025-05-23,15.148,2025-05-27,14.383,-5.1437%,-5.0488%,2,信号
