序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,002759,ST天际,2021-08-30,41.812,2021-09-02,37.202,11900,-11.1133%,-55323.26,3,止损
61,600096,云天化,2021-08-30,16.813,2021-09-01,19.535,29700,16.0723%,80298.43,2,止盈
62,600711,盛屯矿业,2021-08-30,11.785,2021-09-07,12.043,42400,2.0878%,10437.70,6,到期
63,601678,滨化股份,2021-08-30,11.577,2021-09-02,10.626,43100,-8.3073%,-41470.92,3,止损
64,603077,和邦生物,2021-08-30,2.964,2021-09-03,3.331,168600,12.2626%,61320.51,4,止盈
65,000762,西藏矿业,2021-08-31,69.804,2021-09-02,78.34,7100,12.1163%,60079.16,2,止盈
66,002192,融捷股份,2021-08-31,150.789,2021-09-02,173.557,3300,14.9840%,74598.64,2,止盈
67,300118,东方日升,2021-08-31,24.464,2021-09-02,22.591,20400,-7.7505%,-38699.91,2,止损
68,600089,特变电工,2021-08-31,15.283,2021-09-02,16.913,32700,10.5544%,52771.40,2,止盈
69,002176,江特电机,2021-09-01,27.044,2021-09-03,24.528,18400,-9.3934%,-46764.90,2,止损
70,600111,北方稀土,2021-09-01,58.681,2021-09-03,52.826,8500,-10.0689%,-50247.80,2,止损
71,000425,徐工机械,2021-09-02,6.339,2021-09-10,6.243,78800,-1.6174%,-8083.46,6,到期
72,000935,四川双马,2021-09-02,26.124,2021-09-06,23.179,19100,-11.3605%,-56713.68,2,止损
73,002208,合肥城建,2021-09-02,9.89,2021-09-06,8.881,50500,-10.2959%,-51447.90,2,止损
74,002555,三七互娱,2021-09-02,14.352,2021-09-06,15.497,34800,7.8705%,39329.23,2,止盈
75,300116,ST保力,2021-09-02,3.002,2021-09-07,2.839,166500,-5.5225%,-27612.37,3,止损
76,300187,永清环保,2021-09-02,9.018,2021-09-10,9.008,55400,-0.1998%,-998.64,6,到期
77,300350,华鹏飞,2021-09-02,10.805,2021-09-10,10.265,46200,-5.0974%,-25459.44,6,到期
78,300895,铜牛信息,2021-09-02,44.212,2021-09-06,39.583,11300,-10.5592%,-52779.97,2,止损
79,600031,三一重工,2021-09-02,27.442,2021-09-10,26.615,18200,-3.1107%,-15543.82,6,到期
80,600673,东阳光,2021-09-02,7.612,2021-09-06,9.303,65600,22.1005%,110410.34,2,止盈
81,601126,四方股份,2021-09-02,13.182,2021-09-07,12.149,37900,-7.9263%,-39618.02,3,止损
82,000776,广发证券,2021-09-03,20.763,2021-09-07,19.153,24000,-7.8460%,-39117.99,2,止损
83,002326,永太科技,2021-09-03,52.426,2021-09-07,49.925,9500,-4.8660%,-24247.33,2,止损
84,300343,联创股份,2021-09-03,23.092,2021-09-09,24.918,21600,7.7998%,38922.99,4,止盈
85,600096,云天化,2021-09-03,21.626,2021-09-07,18.936,23100,-12.5277%,-62613.95,2,止损
86,600166,福田汽车,2021-09-03,4.502,2021-09-13,4.368,111000,-3.0829%,-15414.57,6,到期
87,000791,甘肃能源,2021-09-06,4.982,2021-09-09,5.407,100300,8.4175%,42086.89,3,止盈
88,000875,电投绿能,2021-09-06,7.254,2021-09-14,7.116,68900,-1.9893%,-9947.10,6,到期
89,002191,劲嘉股份,2021-09-06,10.965,2021-09-14,10.785,45500,-1.7478%,-8724.63,6,到期
90,002202,金风科技,2021-09-06,16.599,2021-09-13,15.933,30100,-4.1098%,-20544.22,5,止损
91,002350,北京科锐,2021-09-06,9.575,2021-09-08,8.486,52200,-11.4625%,-57318.75,2,止损
92,002531,天顺风能,2021-09-06,15.433,2021-09-08,14.788,32300,-4.2759%,-21325.11,2,止损
93,300077,国民技术,2021-09-06,31.316,2021-09-14,31.624,15900,0.8843%,4405.26,6,到期
94,300443,金雷股份,2021-09-06,43.333,2021-09-10,39.311,11500,-9.3708%,-46720.39,4,止损
95,000825,太钢不锈,2021-09-07,10.415,2021-09-10,12.034,48000,15.4269%,77162.42,3,止盈
96,300002,神州泰岳,2021-09-07,5.568,2021-09-15,5.192,89800,-6.8352%,-34192.26,6,止损
97,600110,诺德股份,2021-09-07,20.341,2021-09-15,23.269,24500,14.2811%,71206.52,6,止盈
98,600163,中闽能源,2021-09-07,7.801,2021-09-09,8.713,64000,11.5760%,57823.12,2,止盈
99,600863,华能蒙电,2021-09-07,2.412,2021-09-09,2.86,207200,18.4274%,92147.66,2,止盈
100,603393,新天然气,2021-09-07,28.168,2021-09-09,33.687,17700,19.4738%,97140.14,2,止盈
101,600096,云天化,2021-09-08,21.586,2021-09-10,24.033,23100,11.2258%,56003.19,2,止盈
102,601669,中国电建,2021-09-08,7.675,2021-09-16,7.587,65100,-1.2406%,-6201.56,6,到期
103,000762,西藏矿业,2021-09-09,81.41,2021-09-17,67.545,6100,-17.1134%,-85027.60,6,止损
104,002092,中泰化学,2021-09-09,16.538,2021-09-17,16.622,30200,0.4040%,2018.57,6,到期
105,002241,歌尔股份,2021-09-09,48.99,2021-09-13,45.943,10200,-6.3143%,-31568.31,2,止损
106,002597,金禾实业,2021-09-09,41.592,2021-09-13,39.781,12000,-4.4491%,-22216.47,2,止损
107,300079,数码视讯,2021-09-09,11.086,2021-09-17,9.965,45100,-10.1978%,-51010.37,6,止损
108,300052,中青宝,2021-09-10,13.047,2021-09-14,18.151,38300,38.9856%,194901.09,2,止盈
109,600581,ST八钢,2021-09-10,9.995,2021-09-14,10.675,50000,6.6933%,33466.51,2,止盈
110,600691,潞化科技,2021-09-10,5.903,2021-09-17,6.417,84700,8.5961%,43000.51,5,止盈
111,600740,山西焦化,2021-09-10,10.84,2021-09-16,10.6,46100,-2.3183%,-11591.39,4,止损
112,601216,君正集团,2021-09-10,5.711,2021-09-14,5.335,87500,-6.6690%,-33341.53,2,止损
113,601388,怡球资源,2021-09-10,7.046,2021-09-15,6.269,70900,-11.1123%,-55536.98,3,止损
114,603612,索通发展,2021-09-10,30.506,2021-09-22,27.357,16300,-10.4119%,-51799.16,6,止损
115,002176,江特电机,2021-09-13,29.115,2021-09-23,28.786,17100,-1.2287%,-6120.09,6,到期
116,002240,盛新锂能,2021-09-13,73.04,2021-09-17,66.81,6800,-8.6210%,-42838.96,4,止损
117,002326,永太科技,2021-09-13,66.283,2021-09-17,63.058,7500,-4.9601%,-24670.06,4,止损
118,002411,必康退,2021-09-13,15.238,2021-09-23,17.581,32800,15.2650%,76331.52,6,止盈
119,000422,湖北宜化,2021-09-14,24.232,2021-09-24,21.799,20600,-10.1304%,-50594.23,6,止损
120,000630,铜陵有色,2021-09-14,4.953,2021-09-17,4.529,100900,-8.6660%,-43334.74,3,止损
