序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1819,600886,国投电力,2022-08-02,8.59,2022-08-17,8.632,0.3814%,0.4818%,11,到期
1820,600892,大晟文化,2022-09-20,4.182,2022-09-26,3.878,-7.3625%,-7.2698%,4,止损
1821,600892,大晟文化,2025-01-03,3.752,2025-01-07,3.388,-9.7806%,-9.6904%,2,止损
1822,600895,张江高科,2023-01-03,10.635,2023-01-18,11.504,8.0621%,8.1702%,11,止盈
1823,600898,ST美讯,2022-10-13,5.293,2022-10-28,5.447,2.8187%,2.9216%,11,到期
1824,600900,长江电力,2025-07-30,27.654,2025-08-14,26.607,-3.8828%,-3.7866%,11,到期
1825,600908,无锡银行,2022-11-02,3.992,2022-11-17,4.218,5.5531%,5.6587%,11,到期
1826,600908,无锡银行,2026-05-20,5.463,2026-06-04,5.347,-2.2105%,-2.1126%,11,到期
1827,600916,中国黄金,2022-03-11,11.208,2022-03-15,10.507,-6.3471%,-6.2534%,2,止损
1828,600916,中国黄金,2022-10-12,9.707,2022-10-18,10.497,8.0294%,8.1375%,4,止盈
1829,600917,重庆燃气,2023-04-04,7.187,2023-04-20,7.029,-2.2839%,-2.1861%,11,到期
1830,600927,永安期货,2023-12-29,15.167,2024-01-11,14.402,-5.1375%,-5.0426%,8,止损
1831,600929,雪天盐业,2026-03-26,5.708,2026-04-10,6.182,8.1970%,8.3053%,10,止盈
1832,600935,华塑股份,2022-12-27,4.522,2023-01-12,4.448,-1.7454%,-1.6471%,11,到期
1833,600939,重庆建工,2023-04-03,3.568,2023-04-18,3.874,8.4760%,8.5846%,10,止盈
1834,600939,重庆建工,2024-06-11,2.431,2024-06-25,2.239,-8.0031%,-7.9111%,10,止损
1835,600955,维远股份,2024-06-27,14.797,2024-07-09,13.743,-7.2176%,-7.1247%,8,止损
1836,600955,维远股份,2026-03-27,15.378,2026-03-31,18.681,21.3575%,21.4790%,2,止盈
1837,600956,新天绿能,2023-08-28,8.22,2023-09-12,8.012,-2.6292%,-2.5318%,11,到期
1838,600956,新天绿能,2026-06-30,7.003,2026-07-15,7.066,0.7982%,0.8991%,11,到期
1839,600961,株冶集团,2026-03-25,17.269,2026-04-10,18.231,5.4667%,5.5722%,11,到期
1840,600962,国投中鲁,2026-03-05,20.76,2026-03-20,20.09,-3.3261%,-3.2293%,11,到期
1841,600963,岳阳林纸,2026-03-25,4.722,2026-04-10,4.848,2.5489%,2.6515%,11,到期
1842,600965,ST福成,2024-06-11,3.875,2024-06-21,3.571,-7.9303%,-7.8381%,8,止损
1843,600966,博汇纸业,2021-08-31,10.596,2021-09-09,12.385,16.7618%,16.8786%,7,止盈
1844,600966,博汇纸业,2022-04-28,6.444,2022-05-10,7.547,16.9991%,17.1162%,5,止盈
1845,600966,博汇纸业,2024-07-29,4.292,2024-08-13,4.338,0.9633%,1.0644%,11,到期
1846,600970,中材国际,2021-10-14,8.774,2021-10-29,8.466,-3.6137%,-3.5173%,11,到期
1847,600970,中材国际,2022-10-13,6.863,2022-10-28,7.316,6.4923%,6.5989%,11,到期
1848,600973,宝胜股份,2021-12-14,6.063,2021-12-28,5.797,-4.4817%,-4.3861%,10,止损
1849,600976,健民集团,2023-10-26,54.087,2023-10-31,58.421,7.9046%,8.0125%,3,止盈
1850,600977,中国电影,2023-10-20,11.837,2023-11-06,12.155,2.5839%,2.6865%,11,到期
1851,600985,淮北矿业,2024-10-29,15.028,2024-11-13,14.133,-6.0470%,-5.9529%,11,止损
1852,600989,宝丰能源,2023-01-03,10.555,2023-01-17,11.454,8.4085%,8.5170%,10,止盈
1853,600993,马应龙,2022-02-08,19.86,2022-02-23,20.21,1.6604%,1.7622%,11,到期
1854,600995,南网储能,2024-11-20,10.4,2024-12-05,10.14,-2.6000%,-2.5025%,11,到期
1855,600999,招商证券,2022-07-15,11.783,2022-08-01,11.871,0.6476%,0.7483%,11,到期
1856,600999,招商证券,2025-05-30,15.333,2025-06-17,15.867,3.3819%,3.4854%,11,到期
1857,600999,招商证券,2026-04-29,15.149,2026-05-19,15.633,3.0959%,3.1990%,11,到期
1858,601003,柳钢股份,2023-05-29,3.912,2023-06-13,4.078,4.1393%,4.2435%,11,到期
1859,601019,山东出版,2022-09-22,4.942,2022-09-27,4.638,-6.2606%,-6.1668%,3,止损
1860,601020,华钰矿业,2025-04-10,17.42,2025-04-15,19.971,14.5315%,14.6461%,3,止盈
1861,601020,华钰矿业,2026-03-26,27.685,2026-04-20,31.265,12.8203%,12.9332%,11,止盈
1862,601021,春秋航空,2023-02-28,58.924,2023-03-15,59.475,0.8338%,0.9348%,11,到期
1863,601021,春秋航空,2023-08-25,54.172,2023-09-11,51.579,-4.8816%,-4.7864%,11,到期
1864,601021,春秋航空,2023-11-21,51.751,2023-12-04,48.821,-5.7566%,-5.6623%,9,止损
1865,601022,宁波远洋,2025-11-25,9.152,2025-12-10,9.282,1.3277%,1.4291%,11,到期
1866,601061,中信金属,2026-03-25,12.075,2026-03-27,11.363,-5.9882%,-5.8941%,2,止损
1867,601077,渝农商行,2025-12-17,6.012,2026-01-05,6.116,1.6271%,1.7288%,11,到期
1868,601083,锦江航运,2025-11-26,10.583,2025-12-11,10.723,1.2154%,1.3167%,11,到期
1869,601098,中南传媒,2023-06-28,9.655,2023-07-13,9.775,1.1446%,1.2459%,11,到期
1870,601100,恒立液压,2022-03-14,53.287,2022-03-16,49.585,-7.0393%,-6.9463%,2,止损
1871,601100,恒立液压,2023-05-23,54.477,2023-06-01,51.614,-5.3502%,-5.2555%,7,止损
1872,601108,财通证券,2023-12-28,7.224,2024-01-15,7.036,-2.6879%,-2.5905%,11,到期
1873,601111,中国国航,2025-07-17,7.464,2025-08-01,7.246,-3.0092%,-2.9121%,11,到期
1874,601117,中国化学,2025-12-01,7.243,2025-12-16,7.355,1.4545%,1.5561%,11,到期
1875,601127,赛力斯,2023-08-30,33.606,2023-09-05,38.78,15.2802%,15.3956%,4,止盈
1876,601137,博威合金,2022-04-18,11.375,2022-04-21,10.064,-11.6116%,-11.5231%,3,止损
1877,601155,新城控股,2022-07-19,21.051,2022-08-03,19.36,-8.1212%,-8.0293%,11,止损
1878,601155,新城控股,2023-03-22,16.878,2023-04-07,16.162,-4.3409%,-4.2452%,11,到期
1879,601155,新城控股,2023-04-27,14.887,2023-05-17,15.322,2.8183%,2.9212%,11,到期
1880,601158,重庆水务,2023-10-12,5.106,2023-10-27,5.17,1.1692%,1.2704%,11,到期
1881,601166,兴业银行,2022-11-01,10.751,2022-11-14,12.14,12.8022%,12.9151%,9,止盈
1882,601166,兴业银行,2024-06-17,14.261,2024-07-02,14.527,1.7606%,1.8624%,11,到期
1883,601168,西部矿业,2026-03-25,26.333,2026-04-01,25.927,-1.6407%,-1.5423%,5,止损
1884,601169,北京银行,2026-06-01,4.814,2026-06-16,4.94,2.4964%,2.5989%,11,到期
1885,601177,杭齿前进,2023-04-12,9.624,2023-04-20,9.144,-5.0762%,-4.9812%,6,止损
1886,601186,中国铁建,2026-04-29,6.473,2026-05-19,6.247,-3.5933%,-3.4969%,11,到期
1887,601208,东材科技,2023-09-25,10.986,2023-10-16,12.065,9.7066%,9.8164%,9,止盈
1888,601225,陕西煤业,2023-06-05,11.175,2023-06-13,12.093,8.1102%,8.2183%,6,止盈
1889,601226,华电科工,2026-03-25,10.057,2026-03-27,9.197,-8.6390%,-8.5475%,2,止损
1890,601229,上海银行,2026-05-13,9.085,2026-05-28,8.756,-3.7170%,-3.6207%,11,到期
1891,601231,环旭电子,2023-05-11,11.946,2023-05-26,12.514,4.6481%,4.7528%,11,到期
1892,601231,环旭电子,2024-09-25,13.077,2024-10-08,16.902,29.1217%,29.2509%,4,止盈
1893,601233,桐昆股份,2021-10-12,21.624,2021-10-25,20.303,-6.2027%,-6.1088%,9,止损
1894,601233,桐昆股份,2022-03-11,16.681,2022-03-28,16.705,0.0396%,0.1397%,11,到期
1895,601238,广汽集团,2023-12-13,9.015,2023-12-20,8.536,-5.4058%,-5.3112%,5,止损
1896,601318,中国平安,2026-05-26,52.426,2026-06-10,52.224,-0.4855%,-0.3859%,11,到期
1897,601369,陕鼓动力,2025-08-05,8.614,2025-08-20,8.506,-1.3589%,-1.2602%,11,到期
1898,601456,国联民生,2024-05-31,10.817,2024-06-11,10.037,-7.3073%,-7.2145%,6,止损
