序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
2131,600157,永泰能源,2025-09-22,1.651,2025-09-26,1.609,-2.6192%,-2.5218%,4,信号
2132,600158,中体产业,2025-09-10,9.685,2025-09-19,9.175,-5.3548%,-5.2601%,7,信号
2133,600159,大龙地产,2021-12-17,2.781,2021-12-28,3.208,15.2369%,15.3522%,7,信号
2134,600159,大龙地产,2023-07-24,3.722,2023-08-08,3.408,-8.5165%,-8.4250%,11,信号
2135,600162,香江控股,2021-12-23,1.827,2021-12-29,1.665,-8.9446%,-8.8535%,4,信号
2136,600162,香江控股,2025-09-16,2.376,2025-09-25,2.204,-7.3434%,-7.2507%,7,信号
2137,600163,中闽能源,2025-11-06,5.713,2025-11-19,5.687,-0.5494%,-0.4499%,9,信号
2138,600166,福田汽车,2021-09-06,4.702,2021-09-13,4.368,-7.2071%,-7.1142%,5,信号
2139,600167,联美控股,2021-12-23,8.392,2021-12-30,7.934,-5.5539%,-5.4594%,5,信号
2140,600168,武汉控股,2022-01-12,5.147,2022-01-17,4.835,-6.1560%,-6.0621%,3,信号
2141,600170,上海建工,2026-01-15,2.976,2026-01-28,2.834,-4.8963%,-4.8011%,9,信号
2142,600172,黄河旋风,2023-02-01,5.923,2023-02-21,6.297,6.2063%,6.3126%,14,信号
2143,600172,黄河旋风,2023-11-22,4.482,2023-11-30,4.068,-9.3333%,-9.2426%,6,信号
2144,600172,黄河旋风,2025-08-13,4.862,2025-08-21,4.898,0.6216%,0.7223%,6,信号
2145,600173,卧龙新能,2022-06-17,6.244,2022-06-27,5.798,-7.2359%,-7.1431%,6,信号
2146,600173,卧龙新能,2025-07-15,7.264,2025-07-18,6.397,-12.0219%,-11.9338%,3,信号
2147,600173,卧龙新能,2026-01-23,7.764,2026-02-03,7.996,2.8868%,2.9897%,7,信号
2148,600178,东安动力,2021-12-03,8.774,2021-12-14,8.616,-1.9068%,-1.8086%,7,信号
2149,600178,东安动力,2023-11-13,9.294,2023-11-23,7.835,-15.7785%,-15.6942%,8,信号
2150,600178,东安动力,2025-03-21,13.521,2025-03-26,12.048,-10.9818%,-10.8928%,3,信号
2151,600178,东安动力,2025-12-31,12.765,2026-01-14,12.753,-0.1998%,-0.1000%,8,信号
2152,600179,安通控股,2025-08-27,3.652,2025-09-03,3.448,-5.6683%,-5.5739%,5,信号
2153,600179,安通控股,2025-10-20,4.332,2025-10-31,4.328,-0.1998%,-0.1000%,9,信号
2154,600180,ST瑞茂,2022-01-21,7.047,2022-01-25,6.32,-10.4023%,-10.3126%,2,信号
2155,600180,ST瑞茂,2023-12-18,6.395,2023-12-21,6.179,-3.4786%,-3.3820%,3,信号
2156,600184,光电股份,2025-06-27,16.555,2025-07-07,16.009,-3.3964%,-3.2997%,6,信号
2157,600185,珠免集团,2023-11-14,7.814,2023-11-22,7.696,-1.6055%,-1.5070%,6,信号
2158,600185,珠免集团,2025-03-21,6.153,2025-03-26,5.907,-4.0945%,-3.9985%,3,信号
2159,600187,ST国中,2023-05-15,2.731,2023-05-24,2.729,-0.1998%,-0.1000%,7,信号
2160,600187,ST国中,2026-01-22,2.751,2026-02-02,2.259,-17.9824%,-17.9003%,7,信号
2161,600189,泉阳泉,2023-09-08,8.004,2023-09-21,8.776,9.5307%,9.6403%,9,信号
2162,600189,泉阳泉,2025-05-29,7.834,2025-06-09,7.616,-2.8765%,-2.7793%,6,信号
2163,600191,华资实业,2024-12-10,6.811,2024-12-18,6.545,-4.0112%,-3.9152%,6,信号
2164,600191,华资实业,2025-07-08,8.112,2025-07-15,7.804,-3.8925%,-3.7963%,5,信号
2165,600193,退市创兴,2023-01-31,6.873,2023-02-08,6.547,-4.8485%,-4.7532%,6,信号
2166,600197,伊力特,2022-06-01,26.653,2022-06-20,27.626,3.5464%,3.6501%,12,信号
2167,600197,伊力特,2024-11-11,18.159,2024-11-18,17.331,-4.6537%,-4.5583%,5,信号
