序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
16918,300360,炬华科技,2025-11-12,19.42,2025-11-14,17.911,-7.8609%,-7.7687%,2,止损
16919,300363,博腾股份,2024-10-28,18.919,2024-11-04,17.551,-7.3246%,-7.2319%,5,止损
16920,300363,博腾股份,2026-08-10,21.321,2026-08-17,21.9,2.6146%,2.7173%,5,区间结束平仓
16921,300364,中文在线,2021-11-11,9.055,2021-11-15,11.064,22.0760%,22.1982%,2,止盈
16922,300364,中文在线,2021-11-23,11.106,2021-11-25,13.693,23.1768%,23.3001%,2,止盈
16923,300364,中文在线,2021-12-09,17.319,2021-12-14,18.501,6.7187%,6.8255%,3,止盈
16924,300364,中文在线,2022-11-08,9.515,2022-11-11,10.645,11.7636%,11.8755%,3,止盈
16925,300364,中文在线,2023-03-27,18.009,2023-03-29,20.63,14.4375%,14.5521%,2,止盈
16926,300364,中文在线,2023-04-10,24.472,2023-04-12,26.867,9.6741%,9.7839%,2,止盈
16927,300364,中文在线,2023-11-07,20.59,2023-11-09,28.626,38.8862%,39.0251%,2,止盈
16928,300364,中文在线,2024-02-20,24.832,2024-02-22,27.686,11.3805%,11.4920%,2,止盈
16929,300364,中文在线,2024-06-27,21.881,2024-07-04,20.78,-5.1282%,-5.0333%,5,止损
16930,300364,中文在线,2024-10-09,27.224,2024-10-11,23.088,-15.2744%,-15.1896%,2,止损
16931,300364,中文在线,2024-10-23,33.677,2024-10-25,30.505,-9.5098%,-9.4192%,2,止损
16932,300364,中文在线,2025-08-26,32.016,2025-09-01,30.305,-5.4393%,-5.3447%,4,止损
16933,300364,中文在线,2026-01-13,38.709,2026-01-16,34.983,-9.7181%,-9.6278%,3,止损
16934,300364,中文在线,2026-02-10,42.341,2026-02-12,38.591,-8.9488%,-8.8577%,2,止损
16935,300364,中文在线,2026-08-03,24.892,2026-08-10,26.487,6.2984%,6.4048%,5,止盈
16936,300366,ST创意,2021-08-19,10.575,2021-08-27,10.495,-0.8608%,-0.7615%,6,到期
16937,300366,ST创意,2021-09-24,12.206,2021-09-28,14.033,14.8520%,14.9669%,2,止盈
16938,300366,ST创意,2021-10-08,15.508,2021-10-12,17.651,13.7078%,13.8216%,2,止盈
16939,300366,ST创意,2021-11-08,17.449,2021-11-10,15.662,-10.3286%,-10.2389%,2,止损
16940,300366,ST创意,2022-10-28,10.715,2022-11-07,10.645,-0.7589%,-0.6596%,6,到期
