序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,300079,数码视讯,2021-09-09,11.086,2021-09-17,9.965,45100,-10.1978%,-51010.37,6,止损
61,601162,天风证券,2021-09-09,4.851,2021-09-15,4.527,103000,-6.7859%,-33925.94,4,止损
62,300052,中青宝,2021-09-10,13.047,2021-09-14,18.151,38300,38.9856%,194901.09,2,止盈
63,601985,中国核电,2021-09-10,6.078,2021-09-23,6.912,82200,13.5997%,67980.24,7,止盈
64,000783,长江证券,2021-09-13,7.414,2021-09-17,6.987,67400,-5.8565%,-29278.57,4,止损
65,600618,氯碱化工,2021-09-13,15.228,2021-09-16,17.681,32800,15.9964%,79936.57,3,止盈
66,603993,洛阳钼业,2021-09-13,7.157,2021-09-22,6.17,69800,-13.8730%,-69334.17,5,止损
67,000800,一汽解放,2021-09-14,11.251,2021-09-17,10.31,44400,-8.4536%,-42249.27,3,止损
68,000816,智慧农业,2021-09-14,4.562,2021-09-16,4.098,109500,-10.2674%,-51318.28,2,止损
69,002283,天润工业,2021-09-14,9.526,2021-09-27,8.607,52400,-9.7385%,-48634.13,7,止损
70,000970,中科三环,2021-09-15,12.564,2021-09-17,11.658,39700,-7.3045%,-36453.42,2,止损
71,002585,双星新材,2021-09-15,28.665,2021-09-17,26.088,17400,-9.0822%,-45322.70,2,止损
72,300663,科蓝软件,2021-09-15,20.42,2021-09-17,19.18,24400,-6.1653%,-30734.25,2,止损
73,600499,科达制造,2021-09-15,19.142,2021-09-27,17.543,26100,-8.4417%,-42195.46,6,止损
74,000158,常山北明,2021-09-16,8.047,2021-09-22,7.249,62100,-10.0024%,-50008.89,2,止损
75,000937,冀中能源,2021-09-16,5.63,2021-09-22,5.188,88800,-7.9327%,-39677.45,2,止损
76,601375,中原证券,2021-09-16,5.241,2021-09-27,4.926,95400,-6.1063%,-30543.84,5,止损
77,000876,新希望,2021-09-17,12.892,2021-09-28,14.379,38700,11.4175%,56994.59,5,止盈
78,002001,新和成,2021-09-17,22.389,2021-09-27,20.258,22300,-9.6099%,-48004.02,4,止损
79,002109,ST兴化,2021-09-17,7.224,2021-09-24,6.397,69200,-11.5344%,-57686.52,3,止损
80,300690,双一科技,2021-09-17,30.058,2021-10-11,27.829,16600,-7.5080%,-37480.92,9,止损
81,600208,衢州发展,2021-09-17,3.224,2021-09-28,3.01,155100,-6.7045%,-33537.90,5,止损
82,600989,宝丰能源,2021-09-17,16.098,2021-09-27,14.793,31000,-8.2012%,-40947.60,4,止损
83,603867,新化股份,2021-09-17,26.636,2021-09-27,22.381,18700,-16.0603%,-80036.30,4,止损
84,000537,绿发电力,2021-09-22,12.481,2021-09-24,15.237,40000,21.9602%,109691.23,2,止盈
85,002665,ST航高,2021-09-22,3.052,2021-09-24,3.458,163800,13.2160%,66091.68,2,止盈
86,600722,金牛化工,2021-09-22,8.314,2021-09-27,7.296,60100,-12.3295%,-61639.18,3,止损
87,300569,天能重工,2021-09-23,12.67,2021-09-27,11.738,39400,-7.4500%,-37209.68,2,止损
88,600900,长江电力,2021-09-23,17.06,2021-10-22,16.643,29300,-2.5410%,-12707.47,16,到期
89,002165,红宝丽,2021-09-24,9.085,2021-09-28,7.616,55000,-16.2470%,-81218.52,2,止损
90,600483,福能股份,2021-09-24,13.361,2021-09-30,12.325,37400,-7.8451%,-39220.83,4,止损
91,600795,国电电力,2021-09-24,2.89,2021-09-28,2.358,172900,-18.5086%,-92544.40,2,止损
92,600886,国投电力,2021-09-24,9.917,2021-10-12,8.898,50400,-10.3691%,-51852.24,7,止损
93,300172,中电环保,2021-09-27,5.933,2021-09-29,6.307,84200,6.1955%,30965.40,2,止盈
94,300366,ST创意,2021-09-27,12.996,2021-10-08,15.492,38400,19.0841%,95290.01,4,止盈
95,300598,诚迈科技,2021-09-27,62.24,2021-09-29,57.002,8000,-8.5067%,-42377.93,2,止损
96,600021,上海电力,2021-09-27,12.481,2021-09-30,10.99,40000,-12.0398%,-60138.81,3,止损
97,600171,上海贝岭,2021-09-27,33.207,2021-10-13,29.195,15000,-12.1674%,-60636.01,7,止损
98,600323,瀚蓝环境,2021-09-27,24.732,2021-10-12,20.61,20200,-16.7524%,-83735.89,6,止损
99,600597,光明乳业,2021-09-27,13.467,2021-10-19,12.274,37100,-8.9490%,-44732.96,11,止损
100,600882,妙可蓝多,2021-09-27,58.889,2021-10-12,53.493,6900,-9.2540%,-37621.43,6,止损
101,601827,三峰环境,2021-09-27,10.275,2021-10-11,9.585,48600,-6.8078%,-34013.20,5,止损
102,000858,五粮液,2021-09-28,198.043,2021-10-27,196.536,2500,-0.8603%,-4261.45,16,到期
103,000860,顺鑫农业,2021-09-28,36.563,2021-10-19,32.809,8200,-10.3587%,-31072.84,10,止损
104,600519,贵州茅台,2021-09-28,1625.872,2021-10-27,1628.544,300,0.0643%,313.67,16,到期
105,600559,老白干酒,2021-09-28,21.361,2021-10-19,19.44,23400,-9.0813%,-45414.73,10,止损
106,600821,金开新能,2021-09-28,8.235,2021-10-08,9.976,60700,21.0188%,105119.56,3,止盈
107,000568,泸州老窖,2021-09-29,194.79,2021-10-14,218.394,2500,12.0053%,58492.02,6,止盈
108,600032,浙江新能,2021-09-29,15.989,2021-10-11,14.754,31200,-7.8186%,-39023.16,3,止损
109,600238,ST椰岛,2021-09-29,17.839,2021-10-12,19.49,25900,9.1477%,42286.16,4,止盈
110,600733,北汽蓝谷,2021-09-30,14.607,2021-10-13,13.383,34200,-8.4709%,-42339.27,4,止损
111,603318,水发燃气,2021-09-30,9.314,2021-10-13,8.665,44400,-7.0611%,-29214.23,4,止损
112,603338,浙江鼎力,2021-09-30,65.043,2021-10-21,71.154,7600,9.2874%,45932.89,10,止盈
113,002701,奥瑞金,2021-10-08,5.998,2021-10-18,5.562,83300,-7.3581%,-36781.96,6,止损
114,600298,安琪酵母,2021-10-08,46.399,2021-11-01,53.179,10700,14.4982%,72015.49,16,止盈
115,002385,大北农,2021-10-11,7.896,2021-11-02,9.147,63300,15.7338%,78679.13,16,止盈
116,600009,上海机场,2021-10-11,45.933,2021-10-15,51.644,10800,12.3214%,61154.15,4,止盈
117,601318,中国平安,2021-10-11,39.746,2021-11-02,38.691,12500,-2.7522%,-13680.45,16,到期
118,002139,拓邦股份,2021-10-12,16.381,2021-10-18,14.766,30500,-9.9525%,-49749.97,4,止损
119,600487,亨通光电,2021-10-12,14.186,2021-11-03,15.191,35200,6.9796%,34869.90,16,到期
120,600737,中粮糖业,2021-10-12,8.324,2021-10-25,7.406,40300,-11.1154%,-37306.93,9,止损
121,601899,紫金矿业,2021-10-12,9.355,2021-11-03,8.596,53400,-8.2052%,-41008.54,16,止损
122,300159,新研股份,2021-10-13,4.946,2021-10-25,4.518,101000,-8.7587%,-43779.87,8,止损
123,300755,华致酒行,2021-10-13,39.035,2021-11-04,36.757,12800,-5.9297%,-29642.12,16,到期
124,603606,东方电缆,2021-10-13,24.87,2021-10-19,26.788,11200,7.6010%,21183.02,4,止盈
125,000636,风华高科,2021-10-14,28.717,2021-11-05,28.659,17400,-0.3041%,-1520.34,16,到期
126,600988,赤峰黄金,2021-10-15,15.689,2021-11-08,16.293,31800,3.7461%,18698.98,16,到期
127,002739,儒意电影,2021-10-18,15.658,2021-10-22,14.693,31900,-6.2580%,-31273.17,4,止损
128,300750,宁德时代,2021-10-18,301.078,2021-11-01,334.095,1600,10.8551%,52318.11,10,止盈
129,000423,东阿阿胶,2021-10-19,32.294,2021-10-21,35.68,15400,10.3745%,51621.18,2,止盈
130,000738,航发控制,2021-10-19,27.501,2021-10-27,26.074,18100,-5.2829%,-26309.70,6,止损
131,002747,埃斯顿,2021-10-19,27.075,2021-10-29,24.749,18400,-8.6821%,-43273.54,8,止损
132,688033,ST天宜,2021-10-19,29.51,2021-10-22,27.361,700,-7.3731%,-1523.81,3,止损
133,000625,长安汽车,2021-10-21,13.788,2021-11-12,14.92,36200,8.0994%,40445.98,16,到期
134,600071,凤凰光学,2021-10-21,40.13,2021-10-27,44.478,12400,10.7232%,53386.85,4,止盈
135,000049,德赛电池,2021-10-22,34.084,2021-10-27,36.423,2000,6.7549%,4606.99,3,止盈
136,000818,航锦科技,2021-10-22,35.388,2021-11-15,38.851,14100,9.6758%,48303.23,16,到期
137,601128,常熟银行,2021-10-22,4.659,2021-11-03,4.369,107300,-6.3288%,-31656.51,8,止损
138,000333,美的集团,2021-10-25,59.231,2021-10-27,54.244,8400,-8.5107%,-42365.18,2,止损
139,600690,海尔智家,2021-10-25,24.45,2021-10-28,22.866,10500,-6.5746%,-16887.31,3,止损
140,002008,大族激光,2021-10-27,41.821,2021-11-18,40.67,11900,-2.8500%,-14190.63,16,到期
141,002230,科大讯飞,2021-10-27,55.74,2021-11-18,56.474,8900,1.2154%,6032.30,16,到期
142,300088,长信科技,2021-10-27,10.337,2021-11-11,12.266,48300,18.5393%,92610.25,11,止盈
143,300433,蓝思科技,2021-10-27,19.069,2021-11-12,21.128,2500,10.6919%,5099.51,12,止盈
144,300672,国科微,2021-10-27,174.96,2021-11-02,164.451,2800,-6.1008%,-29902.34,4,止损
145,600516,方大炭素,2021-10-27,10.946,2021-11-03,10.046,45600,-8.3181%,-41541.25,5,止损
146,300332,天壕能源,2021-10-28,9.299,2021-11-01,11.008,25800,18.2698%,43852.06,2,止盈
147,603589,口子窖,2021-10-29,56.07,2021-11-22,58.463,8100,4.1632%,18917.28,16,到期
148,600995,南网储能,2021-11-01,20.392,2021-11-03,17.423,24500,-14.6444%,-73201.46,2,止损
