id,name,n,win_rate,avg_ret,median_ret,note
S1,3板追入+跌破MA10,2851,0.2199,-0.0692,-0.1193,用户原策略（事件口径）
S2,3板追入+次日开盘卖,2851,0.4093,-0.0215,-0.0279,只改出场
S3,3板+额换手指数过滤+次日卖,270,0.4000,-0.0110,-0.0199,3板过滤后仍为负
S4,2板+四条件+次日卖,442,0.4955,0.0079,-0.0010,过拟合不建议实盘
S5,2板+额换手+次日卖,1450,0.4166,-0.0075,-0.0160,S4的页面可复现残缺版
S12,2板等MA5回调+持有3日,9569,0.4121,-0.0047,-0.0180,大样本可复现的改善
