序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,600882,妙可蓝多,2021-09-09,53.377,2021-09-27,58.831,9300,10.1076%,50199.46,10,止盈
61,688002,睿创微纳,2021-09-09,104.768,2021-09-13,88.312,4700,-15.7918%,-77799.46,2,止损
62,688036,传音控股,2021-09-10,89.417,2021-09-29,91.061,5500,1.7376%,8549.87,11,到期
63,688315,诺禾致源,2021-09-10,46.917,2021-09-14,44.622,10600,-4.9883%,-24820.31,2,止损
64,002007,华兰生物,2021-09-13,27.474,2021-09-16,25.837,18100,-6.0512%,-30105.92,3,止损
65,002311,海大集团,2021-09-13,57.933,2021-09-30,61.103,8600,5.3673%,26754.28,11,到期
66,300677,英科医疗,2021-09-13,51.403,2021-09-23,48.32,9700,-6.0914%,-30387.40,6,止损
67,300101,振芯科技,2021-09-14,28.076,2021-09-23,26.099,17800,-7.1348%,-35674.31,5,止损
68,300131,英唐智控,2021-09-14,7.304,2021-09-28,6.867,68400,-6.0784%,-30381.24,8,止损
69,300171,东富龙,2021-09-14,42.515,2021-09-17,40.144,11700,-5.6720%,-28228.11,3,止损
70,603882,金域医学,2021-09-14,92.136,2021-09-17,86.727,5400,-5.9652%,-29693.85,3,止损
71,000338,潍柴动力,2021-09-15,15.636,2021-09-30,14.731,31900,-5.8833%,-29359.68,9,止损
72,000516,国际医学,2021-09-15,10.045,2021-09-22,11.094,49700,10.3369%,51631.36,3,止盈
73,300358,楚天科技,2021-09-15,21.741,2021-09-17,20.27,22900,-6.8593%,-34167.04,2,止损
74,600079,ST人福,2021-09-15,19.29,2021-09-17,18.091,25900,-6.3079%,-31530.15,2,止损
75,000651,格力电器,2021-09-16,27.596,2021-10-12,28.288,18100,2.4054%,12020.50,11,到期
76,000963,华东医药,2021-09-16,26.453,2021-10-11,30.195,18900,14.0304%,70182.33,10,止盈
77,002050,三花智控,2021-09-16,21.525,2021-10-12,22.183,23200,2.9546%,14761.98,11,到期
78,600600,青岛啤酒,2021-09-16,72.986,2021-10-12,73.513,6800,0.6210%,3083.80,11,到期
79,000333,美的集团,2021-09-17,51.597,2021-10-11,57.882,9600,12.0694%,59812.99,9,止盈
80,000829,天音控股,2021-09-17,15.88,2021-09-23,18.203,31400,14.5137%,72405.78,2,止盈
81,300142,沃森生物,2021-09-17,66.831,2021-09-30,62.427,7400,-6.6840%,-33072.50,7,止损
82,600690,海尔智家,2021-09-17,22.739,2021-10-13,23.566,21900,3.5326%,17600.90,11,到期
83,600702,舍得酒业,2021-09-17,166.916,2021-09-24,193.716,2900,15.9397%,77196.15,3,止盈
84,600745,ST闻泰,2021-09-17,97.28,2021-10-13,96.123,5100,-1.2878%,-6392.35,11,到期
85,688396,华润微,2021-09-17,67.867,2021-10-13,65.36,5000,-3.7897%,-12866.13,11,到期
86,000831,中国稀土,2021-09-22,40.881,2021-09-24,49.446,12200,20.8295%,103939.98,2,止盈
87,000625,长安汽车,2021-09-23,12.21,2021-09-30,11.483,40900,-6.0468%,-30212.55,5,止损
88,002271,东方雨虹,2021-09-23,36.466,2021-10-08,41.027,13700,12.3957%,61958.32,6,止盈
89,600660,福耀玻璃,2021-09-23,36.198,2021-09-30,34.363,12200,-5.1650%,-22820.84,5,止损
90,600919,江苏银行,2021-09-23,3.387,2021-09-27,3.223,147600,-4.9171%,-24591.64,2,止损
91,000762,西藏矿业,2021-09-24,62.09,2021-09-28,56.951,8000,-8.3692%,-41592.31,2,止损
92,300724,捷佳伟创,2021-09-24,134.096,2021-09-30,128.145,3700,-4.5335%,-22504.29,4,止损
93,000001,平安银行,2021-09-27,14.781,2021-10-11,16.556,33800,11.8919%,59442.79,5,止盈
94,000725,京东方Ａ,2021-09-27,4.819,2021-10-19,4.665,103700,-3.3075%,-16538.49,11,到期
95,601899,紫金矿业,2021-09-28,8.514,2021-10-12,9.345,58700,9.6512%,48259.63,5,止盈
96,603993,洛阳钼业,2021-09-28,5.446,2021-09-30,5.11,91800,-6.2505%,-31263.05,2,止损
97,000762,西藏矿业,2021-09-29,55.487,2021-10-12,52.333,9000,-5.7783%,-28870.37,4,止损
98,000155,川能动力,2021-09-30,27.194,2021-10-13,24.888,18300,-8.5716%,-42677.07,4,止损
99,002192,融捷股份,2021-09-30,128.738,2021-10-12,118.515,3200,-8.0334%,-33111.20,3,止损
100,002460,赣锋锂业,2021-09-30,110.112,2021-10-19,119.626,4500,8.5318%,42296.67,8,止盈
101,002497,雅化集团,2021-09-30,30.646,2021-10-18,32.994,16300,7.5546%,37756.65,7,止盈
102,300343,联创股份,2021-09-30,19.5,2021-10-12,18.171,25600,-6.9078%,-34500.36,3,止损
103,600019,宝钢股份,2021-09-30,7.014,2021-10-13,6.367,71200,-9.3114%,-46520.67,4,止损
104,603260,合盛硅业,2021-09-30,176.356,2021-10-11,163.956,2800,-7.1242%,-35196.87,2,止损
105,600490,鹏欣资源,2021-10-08,4.931,2021-10-19,5.326,101300,7.8992%,39480.87,7,止盈
106,000825,太钢不锈,2021-10-11,8.614,2021-10-13,7.586,58000,-12.0228%,-60099.61,2,止损
107,002254,泰和新材,2021-10-11,18.322,2021-10-26,18.824,27200,2.6340%,13133.63,11,到期
108,002439,启明星辰,2021-10-11,26.678,2021-10-18,24.493,18700,-8.2841%,-41348.89,5,止损
109,603225,新凤鸣,2021-10-11,15.423,2021-10-26,14.788,32400,-4.2138%,-21066.81,11,到期
110,002520,日发精机,2021-10-12,8.864,2021-10-27,9.075,56400,2.2783%,11396.19,11,到期
111,300334,津膜科技,2021-10-12,9.665,2021-10-18,9.085,51700,-6.0886%,-30438.38,4,止损
112,600888,新疆众和,2021-10-12,7.064,2021-10-18,7.736,70700,9.4127%,47029.65,4,止盈
113,600970,中材国际,2021-10-12,9.235,2021-10-18,8.716,54100,-5.7142%,-28562.10,4,止损
114,600977,中国电影,2021-10-12,12.187,2021-10-26,11.475,41000,-5.9350%,-29670.15,10,止损
115,601618,中国中冶,2021-10-12,3.913,2021-10-27,3.919,127700,0.0554%,276.85,11,到期
116,688063,派能科技,2021-10-12,123.909,2021-10-15,133.495,4000,7.6289%,37830.37,3,止盈
117,002939,长城证券,2021-10-13,10.384,2021-10-26,11.203,28500,7.7811%,23039.75,9,止盈
118,601222,林洋能源,2021-10-13,8.835,2021-10-19,9.926,56500,12.2314%,61089.96,4,止盈
119,601555,东吴证券,2021-10-13,7.396,2021-10-28,7.125,67600,-3.7506%,-18760.42,11,到期
120,601600,中国铝业,2021-10-13,6.578,2021-10-25,6.112,76000,-7.1820%,-35924.45,8,止损
121,601669,中国电建,2021-10-13,5.994,2021-10-20,6.468,83400,7.7962%,38992.68,5,止盈
122,601995,中金公司,2021-10-13,51.196,2021-10-28,46.047,9700,-10.1467%,-50413.24,11,止损
123,000683,博源化工,2021-10-15,6.984,2021-10-20,7.137,71500,2.0876%,10430.28,3,止盈
124,000488,ST晨鸣,2021-10-18,7.234,2021-11-02,7.076,69100,-2.2703%,-11353.82,11,到期
125,000932,华菱钢铁,2021-10-18,4.823,2021-10-27,4.539,103600,-5.9961%,-29977.91,7,止损
126,002131,利欧股份,2021-10-18,2.259,2021-11-02,2.237,221300,-1.0838%,-5420.97,11,到期
127,300595,欧普康视,2021-10-18,64.421,2021-11-02,65.116,7700,0.9782%,4854.56,11,到期
128,600989,宝丰能源,2021-10-18,12.306,2021-10-27,13.313,40600,8.0763%,40371.84,7,止盈
129,002384,东山精密,2021-10-19,18.692,2021-10-27,21.062,26700,12.5670%,62751.53,6,止盈
130,002456,欧菲光,2021-10-19,7.454,2021-11-03,7.766,67000,4.0869%,20420.27,11,到期
131,300226,上海钢联,2021-10-19,20.638,2021-10-25,18.878,24200,-8.6229%,-43088.47,4,止损
132,688016,心脉医疗,2021-10-19,151.263,2021-11-02,142.981,3300,-5.5691%,-27813.20,10,止损
133,300999,金龙鱼,2021-10-20,61.885,2021-11-04,64.302,8000,3.8016%,18830.50,11,到期
134,603444,吉比特,2021-10-20,273.644,2021-11-04,281.796,1800,2.8762%,14174.20,11,到期
135,002233,塔牌集团,2021-10-25,8.124,2021-11-09,7.766,61500,-4.5015%,-22502.24,11,到期
136,600143,金发科技,2021-10-25,12.638,2021-10-27,11.166,39500,-11.7347%,-58610.27,2,止损
137,000725,京东方Ａ,2021-10-26,4.529,2021-11-10,4.595,110300,1.3434%,6714.62,11,到期
138,000739,普洛药业,2021-10-26,30.392,2021-11-01,32.591,16400,7.1266%,35539.07,4,止盈
139,002481,双塔食品,2021-10-26,9.075,2021-11-10,9.025,55000,-0.6399%,-3195.50,11,到期
140,603087,甘李药业,2021-10-26,66.039,2021-11-03,61.975,6100,-6.2477%,-25180.88,6,止损
141,000623,吉林敖东,2021-10-27,14.039,2021-11-11,14.145,35600,0.6537%,3268.65,11,到期
142,002110,三钢闽光,2021-10-27,6.351,2021-11-01,5.945,78700,-6.4884%,-32447.70,3,止损
143,002254,泰和新材,2021-10-27,18.132,2021-10-29,16.825,27500,-7.3036%,-36436.30,2,止损
144,002745,木林森,2021-10-27,13.371,2021-11-11,13.607,37300,1.6672%,8318.72,11,到期
145,300006,莱美药业,2021-10-27,5.853,2021-10-29,5.387,85400,-8.0473%,-40243.91,2,止损
146,600739,辽宁成大,2021-10-27,22.792,2021-10-29,20.151,21900,-11.6776%,-58318.44,2,止损
147,600753,ST海钦,2021-10-28,15.768,2021-11-01,17.791,29900,12.7185%,59992.57,2,止盈
148,603259,药明康德,2021-10-28,128.405,2021-11-05,121.23,3800,-5.6820%,-27738.61,6,止损
149,000799,酒鬼酒,2021-10-29,213.607,2021-11-03,204.418,1700,-4.3975%,-15976.64,3,止损
150,002192,融捷股份,2021-10-29,109.769,2021-11-02,104.292,4500,-5.0846%,-25128.27,2,止损
151,600031,三一重工,2021-10-29,20.778,2021-11-15,20.588,24000,-1.0167%,-5072.79,11,到期
152,000002,万科Ａ,2021-11-01,16.534,2021-11-12,18.847,30200,13.8710%,69297.48,9,止盈
153,300724,捷佳伟创,2021-11-01,107.243,2021-11-05,124.797,4600,16.2522%,80214.60,4,止盈
154,601600,中国铝业,2021-11-01,5.488,2021-11-05,4.983,91100,-9.2974%,-46503.83,4,止损
155,000063,中兴通讯,2021-11-02,28.896,2021-11-17,29.207,17300,0.9751%,4876.80,11,到期
156,000630,铜陵有色,2021-11-02,3.243,2021-11-08,3.029,154100,-6.6663%,-33327.52,4,止损
157,600048,保利发展,2021-11-02,10.665,2021-11-11,12.034,46800,12.7199%,63521.66,7,止盈
158,600809,山西汾酒,2021-11-02,266.013,2021-11-17,287.166,1800,7.8441%,37578.27,11,止盈
159,601377,兴业证券,2021-11-02,7.368,2021-11-08,6.965,67100,-5.5666%,-27533.28,4,止损
160,000001,平安银行,2021-11-03,15.672,2021-11-18,15.646,31900,-0.2635%,-1318.04,11,到期
161,000776,广发证券,2021-11-03,16.801,2021-11-12,19.403,15700,15.3708%,40565.58,7,止盈
