代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
300542,新晨科技,2021-09-28,13.983,2021-09-30,12.72,35700,-45578.27,-9.1258%,2,信号
000860,顺鑫农业,2021-09-29,35.863,2021-10-18,34.708,13900,-16548.93,-3.3181%,8,信号
002646,天佑德酒,2021-09-29,20.791,2021-10-18,21.42,24000,14586.92,2.9218%,8,信号
601199,江南水务,2021-10-11,4.278,2021-10-14,3.744,116800,-62840.99,-12.5698%,3,信号
603633,徕木股份,2021-10-11,10.246,2021-10-22,9.967,48700,-14084.68,-2.8212%,9,信号
600336,澳柯玛,2021-10-13,6.923,2021-10-27,7.576,72200,46605.11,9.3187%,10,信号
002212,天融信,2021-10-18,18.222,2021-10-26,17.234,27400,-27549.5,-5.5150%,6,信号
603358,华达科技,2021-10-18,18.569,2021-10-27,17.721,26900,-23303.21,-4.6628%,7,信号
603366,日出东方,2021-10-20,4.687,2021-10-29,4.343,106600,-37206.61,-7.4425%,7,信号
002885,京泉华,2021-10-21,9.849,2021-10-25,9.71,50700,-7531.94,-1.5076%,2,信号
603060,国检集团,2021-10-25,15.077,2021-10-29,13.569,33100,-50366.46,-10.0878%,4,信号
300336,新文退,2021-10-26,3.252,2021-11-10,3.728,153700,72703.19,14.5399%,11,信号
600376,首开股份,2021-10-26,5.002,2021-10-28,4.718,99900,-28943.03,-5.7886%,2,信号
605288,凯迪股份,2021-10-26,42.335,2021-11-03,41.521,11800,-10099.1,-2.0206%,6,信号
002960,青鸟智控,2021-10-27,9.917,2021-11-24,15.218,50400,266558.71,53.3049%,20,信号
600556,天下秀,2021-11-01,11.217,2021-11-16,12.695,44500,65240.93,13.0642%,11,信号
002801,微光股份,2021-11-02,16.778,2021-12-03,17.911,29800,33236.25,6.6440%,23,信号
300478,杭州高新,2021-11-02,9.865,2021-11-10,9.235,50600,-32338.47,-6.4753%,6,信号
600360,华微电子,2021-11-02,9.053,2021-12-03,10.143,55200,59660.4,11.9333%,23,信号
603836,海程邦达,2021-11-02,15.193,2021-11-24,15.736,32900,17373.54,3.4741%,16,信号
000062,深圳华强,2021-11-03,14.237,2021-11-17,14.443,35100,6715.33,1.3431%,10,信号
000823,超声电子,2021-11-03,11.596,2021-11-26,13.053,43100,62294.6,12.4582%,17,信号
603228,景旺电子,2021-11-03,26.513,2021-11-16,26.287,18800,-4752.64,-0.9530%,9,信号
603711,香飘飘,2021-11-03,15.678,2021-11-11,15.222,31800,-14974.62,-3.0021%,6,信号
603917,合力科技,2021-11-05,12.476,2021-12-09,24.178,40000,467333.72,93.5980%,24,信号
