序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1940,600340,ST华幸,2023-07-28,2.531,2023-08-08,2.569,1.3780%,1.4795%,7,信号
1941,600340,ST华幸,2025-07-15,2.321,2025-07-17,2.209,-4.9317%,-4.8366%,2,信号
1942,600340,ST华幸,2025-11-21,2.831,2025-11-25,2.299,-18.8903%,-18.8091%,2,信号
1943,600343,航天动力,2022-07-13,11.396,2022-07-18,9.895,-13.2553%,-13.1685%,3,信号
1944,600348,华阳股份,2025-03-28,6.437,2025-04-01,6.201,-3.7674%,-3.6711%,2,信号
1945,600353,旭光电子,2021-12-23,4.232,2021-12-27,3.971,-6.2633%,-6.1695%,2,信号
1946,600353,旭光电子,2025-02-27,8.584,2025-03-03,7.986,-7.0625%,-6.9695%,2,信号
1947,600354,敦煌种业,2024-11-12,6.193,2024-11-18,5.917,-4.5530%,-4.4575%,4,信号
1948,600354,敦煌种业,2025-04-16,6.503,2025-04-18,6.307,-3.1171%,-3.0201%,2,信号
1949,600354,敦煌种业,2026-02-04,7.354,2026-02-06,6.777,-7.9394%,-7.8473%,2,信号
1950,600355,ST精伦,2023-02-07,3.832,2023-02-15,3.808,-0.7210%,-0.6216%,6,信号
1951,600355,ST精伦,2023-07-26,3.512,2023-07-28,3.368,-4.1805%,-4.0846%,2,信号
1952,600356,恒丰纸业,2021-09-27,6.924,2021-09-29,6.738,-2.7954%,-2.6981%,2,信号
1953,600356,恒丰纸业,2021-12-06,6.954,2021-12-08,6.758,-2.9278%,-2.8306%,2,信号
1954,600359,新农开发,2022-08-29,9.305,2022-09-01,9.085,-2.4534%,-2.3558%,3,信号
1955,600360,华微电子,2021-11-08,9.233,2021-12-03,10.143,9.7499%,9.8597%,19,信号
1956,600360,华微电子,2023-11-10,7.347,2023-11-22,7.629,3.7416%,3.8454%,8,信号
1957,600361,创新新材,2023-08-04,5.241,2023-08-14,5.365,2.2771%,2.3794%,6,信号
1958,600361,创新新材,2025-03-14,4.38,2025-03-21,4.306,-1.7955%,-1.6973%,5,信号
1959,600361,创新新材,2025-08-27,4.694,2025-09-02,4.52,-3.8158%,-3.7195%,4,信号
