序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
59,600702,舍得酒业,2021-09-28,201.934,2021-10-19,176.745,2400,-12.5615%,-60908.81,10,止损
60,601222,林洋能源,2021-09-29,12.477,2021-10-08,11.365,36000,-9.0026%,-40458.32,2,止损
61,600170,上海建工,2021-09-30,3.652,2021-10-12,3.048,58600,-16.6053%,-35552.63,3,止损
62,600733,北汽蓝谷,2021-09-30,14.607,2021-10-13,13.383,34200,-8.4709%,-42339.27,4,止损
63,600436,片仔癀,2021-10-08,375.127,2021-12-02,420.75,1000,12.0496%,45224.11,39,信号
64,600171,上海贝岭,2021-10-11,35.128,2021-10-13,29.195,100,-17.1478%,-603.22,2,止损
65,600887,伊利股份,2021-10-11,33.877,2021-11-29,33.123,14700,-2.3220%,-11568.90,35,信号
66,601888,中国中免,2021-10-11,264.732,2021-11-02,224.188,600,-15.3999%,-24473.35,16,止损
67,000002,万科Ａ,2021-10-12,20.366,2021-10-19,18.867,12300,-7.4559%,-18686.56,5,止损
68,000661,长春高新,2021-10-12,286.607,2021-10-28,261.403,1700,-8.8851%,-43312.61,12,止损
69,601318,中国平安,2021-10-12,39.696,2021-11-29,36.972,12500,-6.9561%,-34533.33,34,信号
70,000963,华东医药,2021-10-13,30.955,2021-11-29,31.534,14800,1.7678%,8103.15,33,信号
71,600737,中粮糖业,2021-10-13,8.864,2021-10-18,8.036,200,-9.8820%,-175.69,3,止损
72,300014,亿纬锂能,2021-10-14,106.258,2021-12-20,128.651,3900,20.9527%,86872.83,47,信号
73,000519,中兵红箭,2021-10-18,25.168,2021-12-07,27.341,400,8.5285%,859.00,36,信号
74,300274,阳光电源,2021-10-19,113.208,2021-11-16,103.428,1000,-8.7297%,-9887.63,20,止损
75,300750,宁德时代,2021-10-19,313.863,2021-11-16,322.434,1500,2.6281%,12379.05,20,信号
76,601012,隆基绿能,2021-10-19,61.647,2021-11-26,61.356,8100,-0.5707%,-2851.22,28,信号
77,002326,永太科技,2021-10-21,70.215,2021-11-05,64.488,6600,-8.2487%,-38245.03,11,止损
78,000422,湖北宜化,2021-10-28,31.946,2021-11-03,27.516,13900,-13.9524%,-61986.51,4,止损
79,603986,兆易创新,2021-10-29,163.212,2021-11-19,155.802,2100,-4.6352%,-15894.92,15,信号
80,002241,歌尔股份,2021-11-02,44.758,2021-12-21,49.441,2000,10.3522%,9271.60,35,信号
81,600905,三峡能源,2021-11-02,7.313,2021-11-09,6.776,68300,-7.4366%,-37161.22,5,止损
82,601615,明阳智能,2021-11-03,30.757,2021-12-02,28.428,12500,-7.6665%,-29489.81,21,信号
83,002202,金风科技,2021-11-05,19.991,2021-11-11,18.162,21300,-9.2403%,-39365.65,4,止损
84,603799,华友钴业,2021-11-09,91.481,2021-11-16,82.94,5000,-9.4272%,-43142.09,5,止损
85,002185,华天科技,2021-11-11,14.144,2021-11-29,13.14,24800,-7.1887%,-25228.65,12,信号
86,300088,长信科技,2021-11-11,12.278,2021-11-29,11.146,40700,-9.3080%,-46537.37,12,止损
87,600522,中天科技,2021-11-15,16.93,2021-12-03,15.824,29500,-6.6282%,-33121.25,14,信号
88,002405,四维图新,2021-11-16,15.962,2021-12-03,14.537,31300,-9.0201%,-45087.60,13,止损
89,300081,ST恒信,2021-11-16,14.877,2021-12-03,13.703,29400,-7.9852%,-34944.26,13,信号
90,300217,东方电热,2021-11-16,5.877,2021-11-26,5.251,100,-12.2418%,-72.56,8,止损
91,300376,易事特,2021-11-16,11.266,2021-12-03,10.715,44300,-4.9860%,-24895.72,13,信号
92,002487,大金重工,2021-11-19,47.759,2021-12-07,42.694,6800,-10.6952%,-34751.07,12,止损
93,000858,五粮液,2021-11-25,205.727,2021-12-30,202.593,2400,-1.6219%,-8011.96,25,信号
