序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
60,600737,中粮糖业,2021-10-13,8.864,2021-10-25,7.406,56400,-16.5328%,-82697.65,8,止损
61,000568,泸州老窖,2021-10-14,218.612,2021-11-15,191.727,1900,-12.3858%,-51471.63,22,止损
62,300472,ST新元,2021-10-15,20.86,2021-11-17,18.761,21400,-10.1559%,-45359.88,23,止损
63,000519,中兵红箭,2021-10-18,25.168,2021-12-08,26.802,18500,6.3861%,29748.56,37,信号
64,300370,安控科技,2021-10-18,2.77,2021-10-20,2.48,100,-13.8501%,-39.06,2,止损
65,300750,宁德时代,2021-10-19,313.863,2021-12-21,314.66,1400,0.1536%,675.47,45,信号
66,603105,芯能科技,2021-10-20,17.659,2021-10-25,15.142,100,-14.7746%,-261.64,3,止损
67,300336,新文退,2021-10-25,3.402,2022-01-21,3.498,100,-0.1000%,-0.34,63,信号
68,300444,双杰电气,2021-10-25,8.584,2021-11-04,7.536,48800,-12.2968%,-51538.67,8,止损
69,300332,天壕能源,2021-10-28,9.299,2021-12-21,10.949,100,16.5786%,154.99,38,信号
70,600522,中天科技,2021-11-04,12.038,2022-01-11,13.815,30500,14.6475%,53806.47,47,信号
71,002384,东山精密,2021-11-08,23.895,2021-12-07,22.742,18500,-4.9217%,-21767.77,21,信号
72,002074,国轩高科,2021-11-15,63.554,2021-12-08,57.463,5700,-9.6736%,-35060.79,17,止损
73,002405,四维图新,2021-11-17,15.992,2021-12-03,14.537,31200,-9.1908%,-45880.48,12,止损
74,002475,立讯精密,2021-11-17,41.684,2021-12-03,37.594,10900,-9.9012%,-45009.12,12,信号
75,000400,许继电气,2021-11-29,26.589,2022-01-05,23.794,14000,-10.6019%,-39485.36,26,止损
76,002487,大金重工,2021-11-29,50.84,2021-12-07,42.694,9800,-16.1081%,-80296.61,6,止损
77,000723,美锦能源,2021-12-03,15.518,2022-01-20,14.243,32200,-8.3074%,-41530.28,33,信号
78,002600,领益智造,2021-12-03,7.839,2021-12-20,6.912,63700,-11.9185%,-59543.59,11,止损
79,600418,江淮汽车,2021-12-03,18.24,2022-01-06,15.293,27400,-16.2392%,-81200.80,23,止损
80,603501,豪威集团,2021-12-03,216.066,2022-01-07,205.04,1400,-5.1977%,-15730.55,24,信号
81,000568,泸州老窖,2021-12-06,234.44,2022-01-07,219.693,2100,-6.3840%,-31445.67,23,信号
82,000860,顺鑫农业,2021-12-07,40.335,2022-01-14,34.698,12300,-14.0627%,-69802.89,27,止损
83,600690,海尔智家,2021-12-07,27.162,2022-01-14,25.625,13200,-5.7508%,-20628.78,27,信号
84,600559,老白干酒,2021-12-08,23.942,2022-01-10,24.288,20800,1.3433%,6692.82,22,信号
85,600741,华域汽车,2021-12-08,24.922,2021-12-21,22.029,13100,-11.6983%,-38212.05,9,止损
86,002263,大东南,2021-12-17,4.052,2022-01-21,3.628,100,-12.7703%,-52.38,24,止损
87,300459,汤姆猫,2021-12-20,5.653,2022-01-26,5.107,77800,-9.7382%,-42849.14,26,止损
88,000812,陕西金叶,2021-12-21,11.788,2021-12-24,10.097,42400,-14.4303%,-72159.90,3,止损
89,002699,ST美盛,2021-12-21,8.214,2021-12-24,7.056,27900,-14.1791%,-32511.04,3,止损
90,600466,ST蓝光,2021-12-21,2.691,2021-12-24,2.189,100,-21.9761%,-60.24,3,止损
91,000875,电投绿能,2021-12-24,9.545,2021-12-30,8.346,300,-12.8880%,-369.68,4,止损
92,300182,捷成股份,2021-12-24,6.611,2021-12-28,6.005,75600,-9.2616%,-46313.78,2,止损
93,600771,广誉远,2021-12-24,43.592,2021-12-30,39.27,2800,-10.0034%,-12216.01,4,止损
94,002432,九安医疗,2021-12-28,37.972,2022-03-09,44.791,11900,17.8391%,80649.11,45,信号
95,000963,华东医药,2021-12-30,37.149,2022-01-26,33.283,5800,-10.4943%,-22622.50,18,止损
96,002639,雪人集团,2021-12-30,13.087,2022-01-26,11.214,38200,-14.3916%,-71980.28,18,止损
97,002665,ST航高,2021-12-30,4.262,2022-01-24,3.768,100,-13.7754%,-59.40,16,止损
98,002475,立讯精密,2022-01-05,49.088,2022-02-09,42.142,6700,-14.2353%,-46841.23,20,止损
99,000333,美的集团,2022-01-06,61.052,2022-02-23,55.233,8100,-9.6203%,-47597.90,29,信号
100,600129,太极集团,2022-01-06,23.692,2022-01-14,21.159,16500,-10.7783%,-42155.04,6,止损
101,300026,红日药业,2022-01-07,9.555,2022-01-11,8.056,52300,-15.7707%,-78848.02,2,止损
102,300418,昆仑万维,2022-01-07,26.899,2022-01-11,24.274,9200,-9.8509%,-24390.79,2,止损
103,002603,以岭药业,2022-01-10,20.82,2022-01-27,18.791,24000,-9.8393%,-49190.65,13,止损
104,000063,中兴通讯,2022-01-11,32.058,2022-01-25,29.227,15500,-8.9209%,-44349.91,10,信号
105,000066,中国长城,2022-01-11,15.104,2022-01-26,13.759,4900,-8.9925%,-6658.43,11,止损
106,000683,博源化工,2022-01-11,7.885,2022-04-26,7.117,63400,-9.8240%,-49135.14,68,止损
107,002370,亚太药业,2022-01-14,7.704,2022-01-26,5.947,64900,-22.8817%,-114460.91,8,止损
108,002537,海联金汇,2022-01-14,8.184,2022-04-19,9.355,13900,14.1968%,16158.20,60,信号
109,300261,雅本化学,2022-01-14,22.911,2022-02-09,17.201,21800,-24.9973%,-124916.43,3,止损
110,300047,天源迪科,2022-01-20,12.621,2022-01-26,11.309,36300,-10.4844%,-48058.67,4,止损
111,000665,湖北广电,2022-01-21,12.066,2022-01-25,10.105,100,-17.0112%,-206.11,2,止损
112,601929,吉视传媒,2022-01-24,3.612,2022-01-26,2.799,100,-24.9387%,-91.32,2,止损
113,002530,金财互联,2022-01-25,13.981,2022-01-28,10.219,32400,-26.9817%,-122284.05,3,止损
114,600546,山煤国际,2022-01-25,4.59,2022-02-07,3.806,100,-19.0548%,-88.42,4,止损
115,000620,盈新发展,2022-01-26,4.562,2022-02-08,2.769,109500,-39.3758%,-196807.68,4,止损
116,000711,ST京蓝,2022-01-26,3.702,2022-03-08,3.458,500,-7.1010%,-131.79,24,信号
117,002155,湖南黄金,2022-01-26,8.173,2022-02-07,7.219,61100,-11.7570%,-58741.07,3,止损
118,002235,安妮股份,2022-01-26,9.195,2022-01-28,6.377,54300,-30.7154%,-153428.49,2,止损
119,002707,众信旅游,2022-01-26,7.104,2022-02-25,6.407,70300,-9.8987%,-49456.77,17,止损
120,003029,吉大正元,2022-01-26,26.843,2022-01-28,19.83,15900,-26.2007%,-111883.08,2,止损
121,002654,万润科技,2022-01-27,4.794,2022-03-09,4.24,200,-12.5434%,-120.90,24,止损
122,601456,国联民生,2022-01-27,15.45,2022-03-07,13.695,29100,-11.4453%,-51482.10,22,止损
123,000498,山东路桥,2022-01-28,7.641,2022-03-16,6.824,65400,-10.7849%,-53919.96,28,止损
124,300584,海辰药业,2022-01-28,39.81,2022-04-01,52.484,12300,31.7042%,155320.75,40,信号
125,600230,沧州大化,2022-01-28,16.554,2022-03-16,15.558,100,-6.6010%,-109.61,28,信号
126,002417,深南退,2022-02-07,7.034,2022-02-18,6.177,100,-13.5047%,-95.66,9,止损
127,600055,万东医疗,2022-02-07,26.543,2022-04-11,24.818,16600,-6.5948%,-29072.58,43,信号
128,601186,中国铁建,2022-02-08,7.278,2022-02-28,6.471,41600,-11.1759%,-33851.93,14,止损
129,601328,交通银行,2022-02-08,3.065,2022-03-09,2.942,100,-7.1601%,-22.30,21,信号
130,601398,工商银行,2022-02-09,3.331,2022-03-09,3.087,200,-8.7377%,-58.64,20,信号
131,601669,中国电建,2022-02-09,8.925,2022-02-23,7.657,56000,-14.2956%,-71488.61,10,止损
132,603123,翠微股份,2022-02-09,26.058,2022-02-18,22.804,6000,-12.5766%,-19673.16,7,止损
133,002133,广宇集团,2022-02-18,3.623,2022-03-16,3.179,200,-13.5259%,-98.68,18,止损
134,002761,浙江建投,2022-02-18,17.969,2022-04-15,24.138,7600,34.1968%,46723.98,33,信号
135,300249,依米康,2022-02-23,14.297,2022-03-28,14.903,26300,4.1302%,15538.04,23,信号
136,600199,金种子酒,2022-02-23,23.612,2022-06-17,25.787,21100,9.1036%,45377.67,76,信号
137,601789,宁波建工,2022-02-25,8.314,2022-03-01,6.877,54200,-17.3736%,-78329.32,2,止损
138,603399,永杉锂业,2022-02-28,19.31,2022-04-25,19.97,13900,3.3165%,8906.01,38,信号
139,600096,云天化,2022-03-01,20.785,2022-03-07,18.316,17900,-11.9693%,-44554.90,4,止损
140,000815,美利云,2022-03-07,15.128,2022-04-07,13.503,33000,-10.8267%,-54074.80,21,止损
141,600521,华海药业,2022-03-07,24.759,2022-03-09,21.896,9100,-11.6530%,-26268.56,2,止损
142,600988,赤峰黄金,2022-03-08,16.169,2022-04-26,17.262,200,6.4424%,208.66,33,信号
143,600056,中国医药,2022-03-09,10.158,2022-04-19,16.467,49200,61.9431%,309732.38,27,信号
144,600277,ST亿利,2022-03-09,7.191,2022-03-16,6.594,100,-9.6248%,-69.69,5,止损
145,600510,黑牡丹,2022-03-09,13.96,2022-03-22,12.087,16700,-13.5036%,-31496.98,9,止损
146,601106,中国一重,2022-03-09,3.402,2022-03-16,3.028,100,-13.7096%,-47.32,5,止损
147,000788,北大医药,2022-03-16,11.479,2022-04-07,10.078,43500,-12.2910%,-61402.70,14,止损
148,300306,远方信息,2022-03-16,15.456,2022-03-30,13.761,9200,-11.0533%,-15724.79,10,止损
149,301060,兰卫医学,2022-03-16,49.047,2022-03-29,42.511,10100,-13.4123%,-66473.71,9,止损
150,600853,龙建股份,2022-03-16,4.048,2022-03-23,3.484,300,-14.6899%,-179.13,5,止损
151,603056,德邦股份,2022-03-16,14.485,2022-04-22,13.151,34500,-9.2989%,-46493.45,25,信号
152,300074,华平股份,2022-03-22,5.583,2022-03-24,4.938,200,-12.3981%,-139.05,2,止损
153,600108,亚盛集团,2022-03-22,3.7,2022-04-25,3.426,100,-9.9621%,-37.36,22,信号
154,600196,复星医药,2022-03-22,53.624,2022-03-29,48.473,3700,-9.6962%,-19247.75,5,止损
155,603636,南威软件,2022-03-22,18.464,2022-03-25,16.527,100,-11.0050%,-203.75,3,止损
156,600077,ST宋都,2022-03-23,6.723,2022-03-25,5.697,100,-16.6271%,-112.62,2,止损
157,002613,北玻股份,2022-03-24,7.519,2022-04-07,6.442,100,-15.5505%,-117.70,8,止损
158,000671,ST阳光城,2022-03-25,3.762,2022-04-12,3.148,700,-16.6553%,-439.42,10,止损
159,600322,津投城开,2022-03-25,2.401,2022-04-26,2.069,100,-17.6336%,-43.22,20,止损
160,600511,国药股份,2022-03-28,28.478,2022-03-30,25.181,13700,-11.6650%,-45534.13,2,止损
161,000965,天保基建,2022-03-29,7.294,2022-04-25,6.147,15000,-15.8064%,-17301.60,17,止损
162,600313,农发种业,2022-03-29,6.724,2022-07-01,11.985,74300,78.0545%,390170.80,62,信号
163,600096,云天化,2022-03-30,21.626,2022-04-25,18.606,21800,-14.0513%,-66277.03,16,止损
164,002060,广东建工,2022-04-01,8.781,2022-04-11,7.333,16600,-16.5735%,-24171.50,4,止损
165,002603,以岭药业,2022-04-01,30.415,2022-04-21,27.706,16400,-8.9980%,-44905.18,12,止损
166,001979,招商蛇口,2022-04-07,14.473,2022-05-06,12.88,200,-11.3371%,-328.74,18,信号
167,002864,盘龙药业,2022-04-07,56.839,2022-04-11,41.113,6700,-27.7397%,-105692.16,2,止损
168,601668,中国建筑,2022-04-07,4.645,2022-05-25,4.311,107600,-7.2931%,-36471.67,31,信号
169,000422,湖北宜化,2022-04-11,23.142,2022-04-22,18.181,21600,-21.5147%,-107596.54,9,止损
170,002305,ST南置,2022-04-11,4.002,2022-04-13,3.238,77200,-19.1618%,-59230.94,2,止损
171,000736,中交发展,2022-04-12,20.36,2022-04-21,17.761,100,-13.2241%,-269.91,7,止损
172,600331,宏达股份,2022-04-12,3.502,2022-04-27,2.739,100,-24.3013%,-86.31,11,止损
173,601933,永辉超市,2022-04-13,5.073,2022-04-18,4.348,49200,-14.3726%,-35887.47,3,止损
174,002432,九安医疗,2022-04-15,91.018,2022-04-19,73.556,2000,-19.2662%,-35089.14,2,止损
175,000983,山西焦煤,2022-04-18,11.06,2022-04-26,10.039,19400,-9.3185%,-20003.31,6,止损
176,002124,天邦食品,2022-04-19,9.445,2022-04-22,8.296,9300,-12.2519%,-10766.98,3,止损
177,600062,华润双鹤,2022-04-19,20.619,2022-06-02,21.718,24200,5.2239%,26079.43,29,信号
178,603648,畅联股份,2022-04-19,13.067,2022-04-22,10.165,38200,-22.2842%,-111285.41,3,止损
179,002251,步步高,2022-04-21,11.909,2022-04-26,9.098,38300,-23.6763%,-108044.56,3,止损
180,002470,金正大,2022-04-21,3.242,2022-04-29,2.849,100,-14.9788%,-49.30,6,止损
181,000713,国投丰乐,2022-04-22,11.005,2022-04-26,9.045,45400,-17.8917%,-89440.29,2,止损
182,002216,三全食品,2022-04-22,17.437,2022-06-06,16.91,28600,-3.1203%,-15568.30,27,信号
183,600180,ST瑞茂,2022-04-22,8.047,2022-04-27,7.009,38800,-12.9804%,-40548.18,3,止损
184,000416,ST民控,2022-04-25,4.542,2022-05-05,3.718,60700,-18.2254%,-50275.39,5,止损
185,000968,蓝焰控股,2022-04-25,11.476,2022-05-06,10.035,43500,-12.6422%,-63140.70,6,止损
186,000722,湖南发展,2022-04-26,11.106,2022-06-20,14.793,36700,33.0669%,134839.50,35,信号
187,600101,明星电力,2022-04-26,5.658,2022-04-28,4.699,88300,-17.0361%,-85152.66,2,止损
188,600448,华纺股份,2022-04-26,4.302,2022-04-28,3.318,116200,-22.9450%,-114761.47,2,止损
189,600538,国发股份,2022-04-27,5.373,2022-08-03,4.808,200,-11.3954%,-123.02,66,信号
190,688363,华熙生物,2022-04-27,123.285,2022-07-12,129.258,2200,4.7407%,12864.40,50,信号
191,000839,国安股份,2022-04-28,3.232,2022-05-10,2.659,154700,-17.8116%,-89090.21,4,止损
192,300284,苏交科,2022-04-28,6.78,2022-06-23,6.162,44200,-9.2123%,-27622.44,36,信号
193,600795,国电电力,2022-04-29,2.32,2022-10-31,3.747,100,55.9864%,132.70,121,到期
194,002244,滨江集团,2022-05-05,7.248,2022-10-27,9.055,100,23.4028%,170.78,118,信号
195,002624,完美世界,2022-05-05,11.957,2022-09-06,12.835,18800,7.2324%,16265.91,87,信号
