买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2021-11-29,000970,中科三环,2.7774%,2.9803%,-2.1801%,3.2918%,1315238267
2021-11-30,300077,国民技术,-1.2168%,-1.0179%,0.1858%,4.4928%,1355930327
2021-12-01,002002,ST鸿达,-1.6070%,-1.4085%,-3.3267%,-1.2520%,1397659727
2021-12-02,601678,滨化股份,-0.0839%,0.1161%,-1.8242%,0.1161%,1331260000
2021-12-03,002048,宁波华翔,-0.7017%,-0.5023%,-3.4843%,0.5936%,1227495375
2021-12-06,600163,中闽能源,0.8084%,1.0094%,3.7327%,9.9929%,1579321381
2021-12-07,600163,中闽能源,-3.1105%,-2.9135%,-3.1105%,-0.1942%,1626971253
2021-12-08,600206,有研新材,-1.4745%,-1.2758%,-4.0236%,-0.6379%,954287140
2021-12-09,300068,ST南都,-1.5177%,-1.3191%,0.4589%,2.7114%,827395118
2021-12-10,000546,金圆股份,-0.2721%,-0.0723%,-1.1383%,3.3960%,869946750
2021-12-13,300393,中来股份,-1.0938%,-0.8948%,-4.2782%,0.6711%,1218498479
2021-12-14,300567,精测电子,1.5525%,1.7542%,3.5221%,7.9018%,1103402129
2021-12-15,601126,四方股份,1.0029%,1.2040%,-4.3430%,1.4270%,1546712076
2021-12-16,600277,ST亿利,-0.3823%,-0.1826%,1.2592%,7.8510%,1373388369
2021-12-17,601678,滨化股份,1.0897%,1.2909%,-2.8965%,1.9951%,1487262084
2021-12-20,600172,黄河旋风,-1.2406%,-1.0417%,3.1301%,5.0000%,779058473
2021-12-21,600172,黄河旋风,-1.5091%,-1.3105%,-2.4155%,-0.2016%,703747844
2021-12-22,002131,利欧股份,-1.4192%,-1.2205%,-3.4514%,-0.4068%,771818170
2021-12-23,002182,宝武镁业,-1.2066%,-1.0077%,-1.0087%,1.3757%,787651930
2021-12-24,600993,马应龙,-1.5355%,-1.3369%,-0.8487%,1.7953%,695658802
2021-12-27,300393,中来股份,-0.3084%,-0.1086%,4.4095%,4.8855%,1480191712
2021-12-28,300393,中来股份,0.1111%,0.3113%,-1.7032%,2.2831%,1366840658
2021-12-29,600252,中恒集团,-0.7484%,-0.5490%,0.6227%,2.1960%,640658568
2021-12-30,300459,汤姆猫,0.1627%,0.3630%,0.5253%,2.5408%,1712079385
2021-12-31,300393,中来股份,-1.4711%,-1.2724%,-8.1975%,0.7422%,1238743703
2022-01-04,000982,中银绒业,-1.9125%,-1.7143%,-5.3377%,-0.8571%,1454025048
2022-01-05,300666,江丰电子,-0.9873%,-0.7882%,4.6780%,7.6703%,729339358
2022-01-06,002002,ST鸿达,-0.9841%,-0.7849%,-1.6114%,0.4710%,1447054756
2022-01-07,002140,东华科技,-2.8836%,-2.6864%,-1.5418%,1.8133%,962751384
2022-01-10,000671,ST阳光城,-1.6910%,-1.4925%,-2.8838%,0.2985%,849770130
2022-01-11,601375,中原证券,-1.1920%,-0.9930%,-1.1920%,0.9930%,1393604454
2022-01-12,300343,联创股份,-2.3717%,-2.1739%,-6.7152%,-1.3158%,1825679625
2022-01-13,300663,科蓝软件,-0.9216%,-0.7223%,0.8825%,3.6569%,869916852
2022-01-14,300459,汤姆猫,0.3381%,0.5386%,3.0284%,6.4632%,1573839659
2022-01-17,300459,汤姆猫,-1.2424%,-1.0435%,-6.6283%,-0.3478%,1712626123
2022-01-18,601375,中原证券,-1.5779%,-1.3793%,4.7212%,4.9261%,1291025460
2022-01-19,601375,中原证券,0.7381%,0.9390%,-2.0760%,1.3146%,1472702761
2022-01-20,000034,神州数码,-2.5697%,-2.3721%,-1.5507%,3.3921%,716214975
2022-01-21,300271,华宇软件,0.3800%,0.5806%,-1.2149%,2.3222%,1044506758
2022-01-24,000546,金圆股份,-0.2666%,-0.0668%,-3.5344%,1.8024%,1002409017
2022-01-25,000838,ST发展,-3.7547%,-3.5583%,-10.1287%,-0.8589%,777581762
2022-01-27,002610,ST爱康,0.3371%,0.5376%,-2.0798%,1.6129%,1081703460
2022-01-28,300443,金雷股份,2.5546%,2.7573%,-5.7931%,5.9144%,594949190
2022-02-07,300343,联创股份,-0.2000%,0.0000%,0.1014%,0.6033%,719547675
2022-02-08,000498,山东路桥,-2.3700%,-2.1722%,-3.8547%,0.9146%,1040847732
2022-02-09,300364,中文在线,-0.9859%,-0.7867%,-0.1126%,3.0594%,533435873
2022-02-10,600138,中青旅,-1.5598%,-1.3612%,0.2800%,6.0854%,862859687
2022-02-11,600446,金证股份,-2.6021%,-2.4046%,-2.6021%,0.1803%,1446207133
2022-02-14,002182,宝武镁业,1.3237%,1.5252%,-0.7513%,1.9050%,1437102962
2022-02-15,002761,浙江建投,2.7383%,2.9412%,10.1914%,10.4017%,1455276135
2022-02-16,300343,联创股份,-1.6394%,-1.4409%,8.7248%,16.5706%,1040035223
2022-02-17,603396,金辰股份,-1.4945%,-1.2958%,-3.1127%,-1.2958%,870863003
2022-02-18,600633,浙数文化,2.6973%,2.9001%,5.8091%,10.8485%,738529691
2022-02-21,300339,润和软件,-1.9959%,-1.7978%,-3.4036%,-0.7774%,990869287
2022-02-22,000503,国新健康,-1.0680%,-0.8689%,-0.2789%,2.2117%,968350699
2022-02-23,300438,鹏辉能源,-1.3469%,-1.1481%,-1.9645%,4.9677%,1177481804
2022-02-24,600777,新潮能源,-2.7227%,-2.5253%,-2.2181%,-0.5051%,853778173
2022-02-25,300224,正海磁材,-1.4423%,-1.2435%,-0.8211%,-0.4352%,817278520
2022-02-28,300398,飞凯材料,-1.9035%,-1.7052%,-2.3747%,-0.7256%,942571703
2022-03-01,600388,紫金龙净,-0.5208%,-0.3211%,-4.6913%,1.6057%,1080344252
2022-03-02,300339,润和软件,-0.7813%,-0.5819%,-1.9440%,0.3880%,924124077
2022-03-03,600409,三友化工,-1.5242%,-1.3255%,-1.9656%,-0.3314%,1127453120
2022-03-04,300182,捷成股份,-2.8604%,-2.6631%,-3.6918%,-0.4993%,1069480839
2022-03-07,300459,汤姆猫,-3.0355%,-2.8384%,-6.7436%,-2.4017%,1244217184
2022-03-08,300035,中科电气,0.7054%,0.9063%,2.3073%,3.9041%,931447154
2022-03-09,300671,富满微,2.3111%,2.5135%,-1.7878%,3.7333%,1289026751
2022-03-10,600197,伊力特,-1.6971%,-1.4987%,-1.8843%,-0.2248%,701821024
2022-03-11,300869,康泰医学,4.4523%,4.6570%,-3.8073%,8.3925%,840661697
2022-03-14,002941,新疆交建,-0.8977%,-0.6984%,0.3075%,6.5397%,1124965586
2022-03-15,300671,富满微,2.3874%,2.5899%,12.6767%,14.8200%,1531412186
2022-03-16,301060,兰卫医学,-5.5333%,-5.3387%,-6.5357%,9.6172%,1428041698
2022-03-17,300182,捷成股份,0.3251%,0.5256%,-0.3750%,1.7519%,1178744842
2022-03-18,600129,太极集团,-1.1699%,-0.9709%,-1.8973%,0.9223%,983010451
2022-03-21,300725,药石科技,0.3979%,0.5985%,-5.9793%,0.5985%,1123867846
2022-03-22,002124,天邦食品,0.0592%,0.2594%,-0.4591%,2.8534%,1474575278
2022-03-23,000732,ST泰禾,-3.5079%,-3.3113%,-6.4851%,-1.6556%,705754741
2022-03-24,600490,鹏欣资源,-0.2000%,0.0000%,1.9865%,6.5660%,744817259
2022-03-25,300208,中程退,-7.3149%,-7.1221%,-9.1300%,-5.2326%,856161870
2022-03-28,002354,天娱数科,0.1843%,0.3846%,0.7606%,2.1154%,796036904
2022-03-29,002435,ST长康,-3.5641%,-3.3675%,-1.8089%,-0.1464%,761119920
2022-03-30,002124,天邦食品,-3.1021%,-2.9050%,-2.3207%,0.2235%,1575885758
2022-03-31,600129,太极集团,-3.3921%,-3.1953%,-5.5951%,-0.7201%,1069345616
2022-04-01,300459,汤姆猫,-1.3224%,-1.1236%,-0.2000%,2.0225%,1155398121
2022-04-06,600325,华发股份,-2.5108%,-2.3131%,-3.3773%,-0.7229%,1167347524
2022-04-07,000681,视觉中国,-3.4096%,-3.2129%,-10.1447%,-2.2122%,1091649908
2022-04-08,600340,ST华幸,-5.7244%,-5.5300%,-10.0979%,-5.0691%,1072100195
2022-04-11,000524,岭南控股,-3.0750%,-2.8779%,9.8627%,10.0727%,577645226
2022-04-12,002051,中工国际,-2.4278%,-2.2300%,-6.8834%,-1.5258%,576991154
2022-04-13,002183,怡亚通,-2.4374%,-2.2396%,-0.5729%,2.7996%,1050111957
2022-04-14,300261,雅本化学,-1.9424%,-1.7442%,-0.2000%,5.5233%,1612447440
2022-04-15,600075,新疆天业,-2.9438%,-2.7466%,-4.1910%,0.2497%,1181485440
2022-04-18,002317,众生药业,-1.0280%,-0.8289%,-1.7286%,0.7651%,965588000
2022-04-19,300052,中青宝,-1.6402%,-1.4417%,-4.2588%,1.0048%,549870100
2022-04-20,002059,云南旅游,-2.8623%,-2.6650%,-10.2153%,-1.6497%,555532575
2022-04-22,002670,国盛证券,-4.1338%,-3.9378%,-1.0281%,3.8342%,902296928
2022-04-26,000671,ST阳光城,-3.7121%,-3.5156%,-2.5414%,-1.9531%,994037189
2022-04-27,002349,精华制药,-0.8133%,-0.6140%,-6.3335%,-0.6140%,994915820
2022-04-28,000762,西藏矿业,0.8544%,1.0554%,8.8612%,10.2246%,1140475715
2022-04-29,600199,金种子酒,-2.1995%,-2.0015%,3.6453%,7.0054%,1432011065
2022-05-05,600199,金种子酒,-2.7548%,-2.5574%,-6.4206%,-1.4085%,1586967825
2022-05-06,300244,迪安诊断,-1.6917%,-1.4932%,-3.8589%,0.4226%,1144846090
2022-05-09,300026,红日药业,-2.8203%,-2.6230%,-2.1652%,-0.4918%,1112611895
2022-05-10,600770,综艺股份,-0.6494%,-0.4499%,-0.2000%,8.7739%,1143900416
2022-05-11,600199,金种子酒,-0.3538%,-0.1540%,6.2216%,10.0077%,1443751470
2022-05-12,600277,ST亿利,1.0316%,1.2328%,-2.8683%,1.8492%,850433940
2022-05-13,000671,ST阳光城,4.5197%,4.7244%,0.5867%,6.6929%,863858912
2022-05-16,002124,天邦食品,-0.2000%,0.0000%,-1.0737%,1.1662%,707957384
2022-05-17,002487,大金重工,-1.9285%,-1.7303%,-3.4316%,-0.1881%,1338868312
2022-05-18,300088,长信科技,-2.5153%,-2.3177%,-2.5153%,-1.5451%,1047443781
2022-05-19,300393,中来股份,-0.7412%,-0.5418%,-0.2601%,0.6020%,1378858687
2022-05-20,000762,西藏矿业,1.7678%,1.9697%,9.9578%,10.1680%,1252532442
2022-05-23,600581,ST八钢,-1.6836%,-1.4851%,-7.2886%,-1.3201%,675659961
2022-05-24,600078,澄星股份,0.4130%,0.6136%,4.8787%,5.0837%,544155109
2022-05-25,002518,科士达,-1.0550%,-0.8559%,-2.5276%,-0.0951%,601036571
2022-05-26,000736,中交发展,-1.5277%,-1.3291%,9.8379%,10.0478%,1321952048
