买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2022-11-10,300253,卫宁健康,2.1172%,2.3195%,-0.6212%,5.5878%,1017877714
2022-11-11,000595,新能股份,-1.8749%,-1.6766%,-2.3535%,-1.1976%,881040912
2022-11-14,300327,中颖电子,0.0429%,0.2431%,14.8587%,20.5440%,576960669
2022-11-15,002727,一心堂,-1.7526%,-1.5542%,-0.1695%,2.7427%,971125038
2022-11-16,002424,ST百灵,-2.3579%,-2.1601%,0.3078%,3.1766%,774093856
2022-11-17,300327,中颖电子,-2.2281%,-2.0302%,-4.4591%,-0.2792%,1235241719
2022-11-18,002517,恺英网络,-0.7916%,-0.5922%,-4.6373%,-0.1481%,1213700146
2022-11-21,000722,湖南发展,-3.0009%,-2.8037%,-5.7351%,-1.7356%,670920572
2022-11-22,300077,国民技术,-2.2987%,-2.1008%,-3.9177%,0.5402%,738978427
2022-11-23,300598,诚迈科技,-1.5081%,-1.3095%,1.7635%,3.3830%,640820359
2022-11-24,000595,新能股份,-3.6143%,-3.4177%,-3.2349%,-2.0253%,642234167
2022-11-25,000620,盈新发展,-4.8537%,-4.6584%,-2.0614%,0.0000%,880831360
2022-11-28,000592,平潭发展,-1.6120%,-1.4134%,-0.9060%,0.7067%,365787900
2022-11-29,600185,珠免集团,-1.0775%,-0.8785%,-5.1730%,0.4392%,641095782
2022-11-30,300212,ST易录,-1.0170%,-0.8179%,3.2834%,7.6195%,1137985093
2022-12-01,300212,ST易录,1.8363%,2.0383%,7.1139%,15.2662%,959901638
2022-12-02,600478,科力远,-0.6406%,-0.4411%,-2.7558%,1.0587%,1350040900
2022-12-05,300339,润和软件,-1.0525%,-0.8534%,-2.8998%,1.3276%,1605985006
2022-12-06,002079,苏州固锝,-1.6704%,-1.4719%,2.9510%,5.8877%,943691235
2022-12-07,002079,苏州固锝,-1.8291%,-1.6308%,-3.1188%,-0.5436%,1141474486
2022-12-08,002334,英威腾,-1.2429%,-1.0440%,-2.9811%,-0.1160%,621430325
2022-12-09,600906,财达证券,-2.3569%,-2.1591%,-4.9679%,-1.4773%,1406863498
2022-12-12,002665,ST航高,-1.2040%,-1.0050%,-1.9570%,-0.7538%,734286661
2022-12-13,300068,ST南都,0.6338%,0.8346%,1.6431%,4.6121%,1211579741
2022-12-14,603477,巨星农牧,-1.4935%,-1.2948%,-1.5769%,3.5085%,950486778
2022-12-15,603005,晶方科技,-1.5823%,-1.3838%,-3.8402%,-0.9686%,1267427656
2022-12-16,000411,英特集团,-2.0728%,-1.8747%,-11.0210%,-1.8747%,534530996
2022-12-19,002793,罗欣药业,-2.3414%,-2.1436%,-10.1578%,-2.1436%,733748112
2022-12-20,002965,祥鑫科技,-1.3180%,-1.1191%,-2.6577%,1.1740%,574321241
2022-12-21,000523,红棉股份,-1.8729%,-1.6746%,-4.0239%,3.5885%,367001711
2022-12-22,000755,山西高速,-2.4612%,-2.2635%,-1.4921%,0.4850%,582370622
2022-12-23,000813,德展健康,-4.3054%,-4.1096%,-6.1301%,-1.8265%,605054791
2022-12-26,600313,农发种业,-2.2565%,-2.0586%,4.6966%,6.8621%,757013331
2022-12-27,600313,农发种业,-1.9737%,-1.7755%,-4.4010%,-1.2148%,1004046031
2022-12-28,600996,贵广网络,-0.2000%,0.0000%,9.8120%,10.0219%,1093467433
2022-12-29,002570,贝因美,0.7182%,0.9191%,-0.7509%,1.6544%,488395490
2022-12-30,002183,怡亚通,0.2692%,0.4696%,0.5820%,1.8785%,972506388
2023-01-03,000793,ST华闻,0.1951%,0.3954%,-2.0960%,1.8980%,672411987
2023-01-04,600223,福瑞达,1.8348%,2.0368%,-1.3021%,2.2914%,891085936
2023-01-05,002517,恺英网络,-0.2000%,0.0000%,0.6438%,1.2669%,757838859
2023-01-06,300199,翰宇药业,-0.0461%,0.1540%,-4.0462%,3.1314%,1425510729
2023-01-09,000821,ST京机,-0.7901%,-0.5907%,-2.1313%,-0.0537%,1077522562
2023-01-10,601137,博威合金,1.0335%,1.2347%,-0.8784%,4.9389%,1025162957
2023-01-11,600477,杭萧钢构,0.6355%,0.8363%,-0.4088%,3.1361%,950357282
2023-01-12,601858,中国科传,-0.8001%,-0.6008%,-5.1727%,0.5149%,571616539
2023-01-13,000665,湖北广电,-1.3667%,-1.1679%,-2.3875%,-0.8759%,711049106
2023-01-16,600446,金证股份,-0.8137%,-0.6144%,-3.0387%,0.0000%,1002758773
2023-01-17,600537,ST亿晶,1.4861%,1.6878%,0.7836%,2.2504%,810429678
2023-01-18,300366,ST创意,-0.5583%,-0.3587%,2.7567%,4.5740%,380257979
2023-01-19,002657,中科金财,-0.2000%,0.0000%,0.8223%,1.7055%,525044980
2023-01-20,600771,广誉远,1.5360%,1.7377%,-5.1558%,2.2982%,1639022800
2023-01-30,001236,弘业期货,-3.4880%,-3.2913%,0.0779%,1.0198%,1134315481
2023-01-31,000970,中科三环,-0.3919%,-0.1921%,1.0641%,3.1865%,1199688077
2023-02-01,600330,天通股份,-0.7246%,-0.5252%,1.8238%,3.0762%,1435923899
2023-02-02,300077,国民技术,-0.1375%,0.0625%,1.4859%,2.0000%,723610440
2023-02-03,300212,ST易录,-0.7519%,-0.5525%,-0.0160%,1.5101%,1092917304
2023-02-06,603000,人民网,4.0798%,4.2841%,5.3457%,9.7749%,1183733453
2023-02-07,300182,捷成股份,-0.3847%,-0.1849%,-3.7098%,-0.1849%,1182289532
2023-02-08,002101,广东鸿图,-0.1597%,0.0403%,1.0878%,4.1893%,1215164841
2023-02-09,300263,隆华科技,-0.4166%,-0.2169%,-1.1749%,3.3615%,864585064
2023-02-10,600199,金种子酒,-0.2000%,0.0000%,2.5896%,4.2932%,1177801116
2023-02-13,300212,ST易录,0.6463%,0.8471%,-2.2387%,1.9253%,975519496
2023-02-14,603000,人民网,3.6079%,3.8116%,10.1691%,10.3794%,1553245554
2023-02-15,600277,ST亿利,0.6769%,0.8778%,-3.2691%,2.8528%,1065568786
2023-02-16,002727,一心堂,-1.6223%,-1.4238%,5.4894%,9.7398%,1063960194
2023-02-17,000650,仁和药业,-0.3656%,-0.1658%,-1.3597%,-0.1658%,724161485
2023-02-20,600259,中稀有色,0.4179%,0.6184%,0.5002%,2.5356%,811904601
2023-02-21,300212,ST易录,-1.8409%,-1.6425%,1.3238%,1.9554%,923930736
2023-02-22,002803,吉宏股份,-1.8513%,-1.6530%,-1.4974%,1.2397%,451369046
2023-02-23,002670,国盛证券,0.6539%,0.8547%,-1.9076%,1.2821%,770226124
2023-02-24,002151,北斗星通,-0.9095%,-0.7102%,-1.9738%,2.0716%,936077350
2023-02-27,600230,沧州大化,-0.8196%,-0.6203%,-3.4532%,-0.2585%,661196829
2023-02-28,300212,ST易录,-0.2405%,-0.0406%,11.3862%,15.1663%,978951744
2023-03-01,300339,润和软件,-0.5689%,-0.3693%,-0.8148%,0.6976%,1232018255
2023-03-02,002131,利欧股份,0.2630%,0.4634%,0.2630%,1.8536%,856904041
2023-03-03,000034,神州数码,-0.2000%,0.0000%,-2.8856%,0.0000%,1245817366
2023-03-06,000837,秦川机床,-0.8397%,-0.6404%,-4.4957%,-0.5489%,571277046
2023-03-07,001236,弘业期货,-1.8835%,-1.6852%,1.2030%,3.8198%,746323721
2023-03-08,600072,中船科技,-2.5619%,-2.3644%,-4.7375%,-0.2489%,1425202136
2023-03-09,600006,东风股份,-3.3889%,-3.1921%,-7.4475%,-1.4510%,1051181304
2023-03-10,300058,蓝色光标,0.6193%,0.8200%,6.1491%,6.8337%,1105951046
2023-03-13,300346,南大光电,-1.6447%,-1.4462%,2.8100%,3.7503%,1319392438
2023-03-14,300346,南大光电,1.7182%,1.9201%,-1.4031%,5.1891%,1543185029
2023-03-15,002436,兴森科技,-0.8937%,-0.6944%,-0.7203%,2.3438%,959778356
2023-03-16,300579,数字认证,-1.2841%,-1.0852%,0.3992%,4.9122%,847584891
2023-03-17,002446,盛路通信,-0.5567%,-0.3571%,-3.9462%,0.0893%,900945360
2023-03-20,002436,兴森科技,-0.6111%,-0.4115%,-0.7755%,0.6584%,1241568749
2023-03-21,300339,润和软件,0.6332%,0.8340%,5.4655%,7.4225%,1734334308
2023-03-22,300687,赛意信息,0.5550%,0.7557%,-3.3708%,1.2344%,1306031583
2023-03-23,600556,天下秀,-0.6328%,-0.4333%,3.9125%,6.2832%,1347336434
2023-03-24,603000,人民网,-0.7564%,-0.5570%,3.4726%,5.2916%,1703322944
2023-03-27,600556,天下秀,-1.8913%,-1.6931%,-7.0649%,0.0996%,1646531518
2023-03-28,300379,东通退,-1.4405%,-1.2418%,-3.3012%,-0.4657%,1038135812
2023-03-29,300738,奥飞数据,-1.4616%,-1.2629%,-5.6274%,-0.7943%,916308311
2023-03-30,300671,富满微,0.1492%,0.3495%,0.8843%,4.8565%,795631645
2023-03-31,002567,唐人神,-1.5528%,-1.3542%,6.4412%,8.2482%,1074780637
2023-04-03,000034,神州数码,2.3412%,2.5437%,-3.6563%,2.5437%,1424561085
2023-04-04,002151,北斗星通,-0.2276%,-0.0277%,-0.7529%,1.3008%,1425315192
2023-04-06,300655,晶瑞电材,-0.8399%,-0.6406%,-0.8830%,0.9716%,1261527086
2023-04-07,601519,大智慧,1.3067%,1.5081%,-7.9648%,5.3364%,1220403888
2023-04-10,688088,虹软科技,-0.0999%,0.1002%,-6.3280%,4.2564%,1150263992
2023-04-11,300343,联创股份,-1.9739%,-1.7757%,-2.4407%,-0.5607%,1013270737
2023-04-12,300666,江丰电子,-1.2388%,-1.0398%,-3.0385%,0.2418%,1401863840
2023-04-13,002707,众信旅游,-0.8842%,-0.6849%,-3.8167%,-0.5871%,740284210
2023-04-14,002174,游族网络,-1.4785%,-1.2798%,-5.4966%,0.0000%,1549929762
2023-04-17,301297,富乐德,-4.5082%,-4.3126%,3.5549%,6.8051%,997242487
2023-04-18,600839,四川长虹,-2.1588%,-1.9608%,5.6765%,8.8235%,1631713006
2023-04-19,600718,东软集团,-1.5075%,-1.3089%,2.3281%,2.7923%,1277246278
2023-04-20,000034,神州数码,-1.6278%,-1.4292%,-6.6460%,-1.4292%,1075852280
2023-04-21,300161,华中数控,-1.8975%,-1.6993%,0.1256%,3.6546%,710557857
2023-04-24,600062,华润双鹤,-2.7125%,-2.5151%,-4.3875%,-1.1003%,1850021981
2023-04-25,002011,盾安环境,-2.7668%,-2.5694%,2.2282%,6.2500%,1180725712
2023-04-26,300039,上海凯宝,-1.8757%,-1.6774%,-0.0710%,5.6774%,689388232
2023-04-27,601019,山东出版,-5.5398%,-5.3452%,11.4810%,11.6927%,953687775
2023-04-28,300133,华策影视,-0.5515%,-0.3519%,2.3781%,4.8094%,1037555282
2023-05-04,002051,中工国际,-1.6899%,-1.4915%,0.8643%,2.4858%,1406579578
2023-05-05,000928,中钢国际,1.1262%,1.3274%,10.9614%,11.1726%,1221620011
2023-05-08,300693,盛弘股份,-0.3534%,-0.1536%,-4.4185%,1.3871%,608372576
2023-05-09,300020,ST银江,-2.5459%,-2.3483%,-4.6964%,0.7828%,711407690
2023-05-10,600839,四川长虹,-1.6873%,-1.4888%,-8.6282%,-1.4888%,1717988664
2023-05-11,300170,汉得信息,-2.1739%,-1.9759%,-0.0120%,4.8927%,794796621
2023-05-12,002077,大港股份,-3.4103%,-3.2136%,-0.0111%,1.9534%,823539125
2023-05-15,600811,ST东方,-1.3988%,-1.2000%,-2.5976%,-0.8000%,525257816
2023-05-16,002192,融捷股份,-1.4304%,-1.2317%,1.0846%,2.6122%,1899290027
2023-05-17,601890,亚星锚链,-1.5779%,-1.3793%,-1.1186%,-0.1839%,891278199
2023-05-18,002351,漫步者,0.6586%,0.8594%,0.0021%,3.6397%,811141679
2023-05-19,002317,众生药业,-1.6666%,-1.4681%,-0.6888%,1.9031%,1118717374
2023-05-22,002881,美格智能,-1.3819%,-1.1831%,-6.7159%,0.2427%,422799490
2023-05-23,300456,赛微电子,-1.0016%,-0.8025%,-1.7561%,5.0035%,905651613
2023-05-24,300476,胜宏科技,11.4545%,11.6661%,-0.5960%,14.6109%,1405193769
2023-05-25,002261,拓维信息,-0.8566%,-0.6574%,9.8147%,10.0247%,1334334612
2023-05-26,600839,四川长虹,0.7966%,0.9975%,1.2948%,4.9875%,1366298248
2023-05-29,601900,南方传媒,-3.0734%,-2.8764%,10.9145%,11.1256%,1009153970
2023-05-30,300182,捷成股份,-1.6672%,-1.4687%,0.7782%,2.2846%,1053965056
2023-05-31,603533,掌阅科技,-2.3530%,-2.1552%,3.6037%,9.5905%,1156558331
2023-06-01,002291,遥望科技,3.0626%,3.2658%,1.7688%,5.8559%,1451747723
2023-06-02,300017,网宿科技,-1.0152%,-0.8161%,-1.6946%,1.4962%,1374990558
2023-06-05,002519,银河电子,-0.8302%,-0.6309%,-5.8725%,-0.6309%,649418279
2023-06-06,601595,上海电影,-2.2962%,-2.0984%,9.8622%,10.0722%,1326126106
2023-06-07,600757,长江传媒,-2.8826%,-2.6853%,-8.6770%,-2.4705%,976281253
2023-06-08,000736,中交发展,-1.6622%,-1.4637%,-1.7952%,-0.3992%,990029514
2023-06-09,000034,神州数码,-0.4126%,-0.2128%,2.0596%,3.9248%,963396489
2023-06-12,600105,永鼎股份,-0.8379%,-0.6386%,6.0199%,9.5785%,834135450
2023-06-13,300075,数字政通,-0.4129%,-0.2131%,0.5112%,1.3513%,972543731
2023-06-14,001338,永顺泰,-2.9923%,-2.7951%,-5.4854%,-1.5473%,881803832
2023-06-15,000837,秦川机床,1.0537%,1.2549%,-1.4536%,1.3333%,919478516
2023-06-16,000676,智度股份,-0.4656%,-0.2660%,6.1766%,9.9734%,841434602
2023-06-19,300672,国科微,-1.0735%,-0.8745%,-0.4949%,0.2612%,1404485907
2023-06-20,600446,金证股份,-1.5372%,-1.3385%,-6.9417%,-0.4462%,1510679349
2023-06-21,603267,鸿远电子,-1.4230%,-1.2243%,-3.9789%,-1.2243%,1034871894
2023-06-26,002009,天奇股份,-2.2894%,-2.0915%,-3.5952%,-0.6536%,503959533
2023-06-27,605011,杭州热电,-7.8013%,-7.6090%,5.6056%,10.0222%,1010074086
2023-06-28,000158,常山北明,-0.2000%,0.0000%,-3.3324%,0.0000%,1104961943
2023-06-29,300456,赛微电子,-0.5509%,-0.3513%,5.5024%,7.8595%,850338237
2023-06-30,000158,常山北明,0.4195%,0.6201%,1.5346%,3.4727%,991426157
2023-07-03,002401,中远海科,-1.3533%,-1.1545%,0.9162%,2.0855%,846932778
2023-07-04,002151,北斗星通,-2.1274%,-1.9294%,-5.4867%,-1.9294%,1425079538
2023-07-05,000970,中科三环,-1.3396%,-1.1408%,-2.9926%,-1.0653%,920608929
2023-07-06,300339,润和软件,-1.5634%,-1.3649%,-5.6138%,-0.6021%,1472728154
2023-07-07,000099,中信海直,-0.2000%,0.0000%,-1.9158%,1.5155%,569792781
2023-07-10,000539,粤电力Ａ,-2.2544%,-2.0566%,-4.3089%,-1.9280%,1099519094
2023-07-11,300678,中科信息,-1.2751%,-1.0762%,-6.4752%,-0.3953%,1197000851
2023-07-12,300693,盛弘股份,-0.1291%,0.0710%,-1.9960%,1.4193%,996118914
2023-07-13,000821,ST京机,-1.2400%,-1.0411%,-2.6960%,-0.6246%,919537787
2023-07-14,300315,掌趣科技,-1.1351%,-0.9360%,-2.5377%,0.1560%,1481852801
2023-07-17,002777,久远银海,-1.3154%,-1.1165%,-3.3174%,0.1718%,1156055875
2023-07-18,600185,珠免集团,0.1404%,0.3407%,3.7144%,9.7104%,580663369
2023-07-19,300624,万兴科技,-0.2094%,-0.0095%,-4.8567%,0.0095%,959100707
2023-07-20,001337,四川黄金,-4.4425%,-4.2468%,-3.9265%,-1.7217%,1030192566
2023-07-21,000736,中交发展,-1.5099%,-1.3112%,-4.8192%,-0.0690%,722663471
2023-07-24,300130,新国都,0.7538%,0.9548%,0.5465%,2.8227%,866331375
2023-07-25,601900,南方传媒,-3.8484%,-3.6521%,-7.8861%,-3.6034%,1301505802
2023-07-26,600266,城建发展,-4.9000%,-4.7047%,-3.2793%,1.7846%,967464146
2023-07-27,002101,广东鸿图,-0.6647%,-0.4652%,-1.3361%,1.3440%,795031722
2023-07-28,000550,江铃汽车,-0.7753%,-0.5760%,1.3536%,3.9166%,853568705
2023-07-31,300002,神州泰岳,-0.3968%,-0.1970%,1.1780%,1.7734%,1140285986
2023-08-01,300475,香农芯创,-3.0279%,-2.8308%,1.9560%,3.0550%,1531778090
2023-08-02,600658,电子城,-0.6440%,-0.4444%,-1.6800%,0.5926%,717432615
2023-08-03,600446,金证股份,1.8556%,2.0576%,7.6797%,10.0137%,989620912
2023-08-04,002670,国盛证券,-2.8238%,-2.6265%,9.8095%,10.0195%,1641856159
2023-08-07,601375,中原证券,-2.1077%,-1.9096%,-4.4393%,-1.9096%,1342749106
2023-08-08,300548,长芯博创,-1.5162%,-1.3175%,-6.3861%,-0.3623%,817615778
2023-08-09,000034,神州数码,0.0529%,0.2531%,-1.4996%,0.9770%,1087039410
2023-08-10,600777,新潮能源,-1.3100%,-1.1111%,-3.5300%,-0.3704%,925410670
2023-08-11,301246,宏源药业,-1.9728%,-1.7746%,3.4864%,5.9435%,420222075
2023-08-14,002292,奥飞娱乐,-1.0205%,-0.8214%,-1.8410%,1.8480%,773527711
2023-08-15,600105,永鼎股份,-1.5022%,-1.3036%,-1.2128%,0.4345%,965205063
2023-08-16,000428,华天酒店,-1.9982%,-1.8000%,-2.1980%,-1.6000%,463792612
2023-08-17,601375,中原证券,-1.2711%,-1.0723%,-5.7702%,-0.2145%,1420662053
2023-08-18,002428,云南锗业,-2.0808%,-1.8827%,-2.7318%,0.0000%,758796090
2023-08-21,600621,华鑫股份,-0.2000%,0.0000%,0.0332%,2.4119%,1177872009
2023-08-22,002670,国盛证券,-2.0992%,-1.9011%,-6.0876%,-1.2357%,1045841774
2023-08-23,603662,柯力传感,-2.1242%,-1.9262%,-1.6522%,1.7081%,633076857
2023-08-24,300166,东方国信,-2.5436%,-2.3460%,-8.1099%,-2.2483%,829905315
2023-08-25,600621,华鑫股份,10.0594%,10.2696%,10.0594%,10.2696%,1253307786
2023-08-28,600864,哈投股份,-2.6939%,-2.4965%,-2.2263%,-0.1560%,1249642981
2023-08-29,000736,中交发展,-1.5582%,-1.3596%,-1.4224%,0.2719%,799697740
2023-08-30,002131,利欧股份,-0.2000%,0.0000%,-2.6188%,0.8071%,1423261191
2023-08-31,300456,赛微电子,-1.4959%,-1.2972%,0.2629%,1.3435%,1044915329
2023-09-01,300475,香农芯创,0.2558%,0.4562%,0.9546%,2.0074%,1094155451
2023-09-04,603005,晶方科技,-1.9358%,-1.7375%,-2.2098%,1.0974%,1302509431
2023-09-05,300762,上海瀚讯,0.1091%,0.3094%,0.7892%,2.0421%,893372942
2023-09-06,300475,香农芯创,-2.0823%,-1.8842%,-0.0062%,5.4587%,1404674954
2023-09-07,002670,国盛证券,-1.6591%,-1.4606%,-0.3945%,0.8763%,879213019
2023-09-08,300655,晶瑞电材,-1.1144%,-0.9154%,1.2980%,5.2306%,1095470693
2023-09-11,300346,南大光电,-2.4457%,-2.2480%,-2.6253%,0.3884%,1295553489
2023-09-12,300602,飞荣达,-4.1836%,-3.9876%,-5.9657%,-2.6234%,529642549
2023-09-13,002941,新疆交建,-1.2583%,-1.0594%,-1.0819%,0.0589%,726036564
2023-09-14,000767,晋控电力,-2.1698%,-1.9718%,-4.7025%,-1.1268%,574490708
2023-09-15,600155,华创云信,-2.1684%,-1.9704%,-1.7993%,-0.3695%,1589612993
2023-09-18,600776,东方通信,-2.7911%,-2.5937%,-2.0059%,2.3579%,1024996736
2023-09-19,600155,华创云信,-0.5632%,-0.3636%,-3.4694%,2.5455%,1519174368
2023-09-20,600877,电科芯片,-2.2770%,-2.0791%,-0.6020%,1.2072%,1034433210
2023-09-21,600155,华创云信,1.7399%,1.9417%,9.7416%,9.9515%,1516816798
2023-09-22,601975,招商南油,-0.7803%,-0.5809%,-0.7803%,2.9044%,845284932
2023-09-25,300624,万兴科技,4.8789%,5.0839%,14.2784%,20.0259%,883983969
2023-09-26,300002,神州泰岳,-1.2256%,-1.0267%,0.7232%,2.9774%,1178165385
2023-09-27,002317,众生药业,0.2726%,0.4731%,6.8299%,9.5204%,1240480205
2023-09-28,002941,新疆交建,-3.2162%,-3.0193%,-3.1122%,1.8740%,1074978230
2023-10-09,000727,冠捷科技,-1.6910%,-1.4925%,9.8646%,10.0746%,1216026067
2023-10-10,603005,晶方科技,-0.8218%,-0.6225%,3.9755%,8.8039%,1300916007
2023-10-11,002273,水晶光电,-0.5562%,-0.3566%,-0.4671%,2.4960%,897019012
2023-10-12,603127,昭衍新药,-0.1226%,0.0775%,1.1155%,3.8341%,983730041
2023-10-13,300456,赛微电子,-0.2000%,0.0000%,-5.6479%,0.5194%,991206216
2023-10-16,600155,华创云信,-0.9127%,-0.7134%,8.2339%,9.9881%,1359621322
2023-10-17,000813,德展健康,-3.0679%,-2.8708%,-3.5459%,-2.3923%,784904753
2023-10-18,603982,泉峰汽车,-3.2859%,-3.0890%,-7.5215%,-2.1805%,499560543
2023-10-19,603985,恒润股份,0.1109%,0.3111%,0.1420%,10.0187%,1328675474
2023-10-20,002192,融捷股份,-1.9835%,-1.7853%,-2.8502%,0.3003%,1467811727
2023-10-23,002273,水晶光电,-1.8682%,-1.6699%,4.4535%,4.6581%,873859431
2023-10-24,000536,华映科技,-2.4421%,-2.2444%,1.0457%,3.2419%,1065011101
2023-10-25,300604,长川科技,-0.3595%,-0.1597%,-0.1202%,0.6124%,1529155546
2023-10-26,300017,网宿科技,-0.3560%,-0.1562%,-1.7604%,0.0000%,864467368
2023-10-27,603306,华懋科技,-1.6693%,-1.4708%,0.4204%,1.1113%,573740055
2023-10-30,002261,拓维信息,-0.1421%,0.0579%,-2.4546%,0.0579%,1793335136
2023-10-31,000766,通化金马,-3.0802%,-2.8832%,-5.8847%,-2.5038%,1181891543
2023-11-01,002941,新疆交建,-4.1526%,-3.9566%,-7.1490%,-2.8079%,1087773344
2023-11-02,002151,北斗星通,1.7300%,1.9319%,9.8243%,10.0343%,1403962190
2023-11-03,300655,晶瑞电材,-1.3556%,-1.1568%,-0.5541%,0.4385%,766803391
2023-11-06,002261,拓维信息,-1.0924%,-0.8934%,2.9535%,3.5140%,1305938949
2023-11-07,600410,华胜天成,-0.3246%,-0.1248%,1.1709%,3.1188%,767844033
2023-11-08,000980,众泰汽车,-2.2544%,-2.0566%,-5.3362%,-1.2853%,1558763891
2023-11-09,600206,有研新材,-0.8838%,-0.6846%,-0.8838%,1.9016%,651104293
2023-11-10,300475,香农芯创,1.6061%,1.8078%,0.3118%,5.0619%,1361528901
2023-11-13,301297,富乐德,-8.3343%,-8.1425%,-3.1968%,-1.4999%,1302669901
2023-11-14,000413,ST旭电,-0.6012%,-0.4016%,-0.6012%,2.0080%,872912189
2023-11-15,601022,宁波远洋,-6.6273%,-6.4338%,-10.5136%,-4.2642%,1255352689
2023-11-16,300182,捷成股份,-0.9294%,-0.7302%,0.3471%,1.2778%,1052120443
2023-11-17,002195,岩山科技,1.9936%,2.1957%,9.8277%,10.0376%,1275563981
2023-11-20,300459,汤姆猫,-1.1181%,-0.9191%,-2.2200%,0.1838%,1646684895
2023-11-21,002317,众生药业,-1.5668%,-1.3682%,0.1987%,2.4514%,1184544756
2023-11-22,300133,华策影视,-1.4153%,-1.2165%,-4.3017%,-1.2165%,827041194
2023-11-23,300735,光弘科技,-1.6811%,-1.4826%,-6.7872%,-0.3121%,1618214585
2023-11-24,300026,红日药业,1.0567%,1.2579%,-3.3415%,2.0964%,867078704
2023-11-27,002906,华阳集团,-1.4073%,-1.2085%,-1.4915%,1.2929%,1142645583
2023-11-28,002547,ST春兴,-1.7022%,-1.5038%,-0.0122%,2.0677%,563468234
2023-11-29,002617,露笑科技,-1.9199%,-1.7217%,-2.9232%,0.1435%,738729611
2023-11-30,002238,天威视讯,-1.9695%,-1.7713%,0.6044%,5.8776%,972585984
2023-12-01,000656,金科股份,-1.8112%,-1.6129%,-3.9596%,-1.0753%,1036377991
2023-12-04,300017,网宿科技,-0.2000%,0.0000%,-4.8346%,0.7483%,905997539
2023-12-05,600335,国机汽车,-1.7515%,-1.5531%,-5.1650%,-0.1035%,872796395
2023-12-06,600777,新潮能源,-0.5686%,-0.3690%,3.1178%,4.0590%,1325976451
2023-12-07,600777,新潮能源,0.8704%,1.0714%,5.8654%,10.0000%,1024400575
2023-12-08,300017,网宿科技,-1.5140%,-1.3154%,1.1141%,2.0462%,1044773718
2023-12-11,000936,华西股份,-1.0743%,-0.8753%,-0.2000%,0.6565%,638323358
2023-12-12,000656,金科股份,-1.7773%,-1.5789%,-3.3547%,-1.0526%,940832268
2023-12-13,002424,ST百灵,-0.5567%,-0.3571%,-0.7946%,1.9048%,776806142
2023-12-14,600860,京城股份,-1.4396%,-1.2409%,-2.9709%,0.3650%,371700488
2023-12-15,301205,联特科技,-1.0099%,-0.8108%,-2.7373%,1.2906%,796276428
2023-12-18,000656,金科股份,-1.2352%,-1.0363%,1.3529%,2.5907%,1085888784
2023-12-19,300624,万兴科技,0.2503%,0.4507%,-6.5316%,0.7452%,1002457240
2023-12-20,605218,伟时电子,-2.6427%,-2.4452%,-2.5185%,-1.6578%,437959429
2023-12-21,300624,万兴科技,-0.7445%,-0.5451%,-6.3943%,0.8684%,834357131
2023-12-22,002518,科士达,-1.4753%,-1.2766%,0.3024%,1.7408%,1254898755
2023-12-25,000810,创维数字,-1.1591%,-0.9601%,4.1846%,5.0747%,977444916
2023-12-26,000810,创维数字,-3.3501%,-3.1533%,-2.6938%,3.7446%,1258709764
2023-12-27,300735,光弘科技,-2.4939%,-2.2963%,-0.5148%,1.3057%,1289043678
2023-12-28,002192,融捷股份,-0.7923%,-0.5930%,-1.0145%,1.7419%,848701062
2023-12-29,000810,创维数字,-0.9158%,-0.7165%,-0.9158%,3.6477%,1275635827
2024-01-02,002122,ST汇洲,-0.6646%,-0.4651%,-3.2202%,-0.2326%,456596598
2024-01-03,002654,万润科技,-2.0290%,-1.8309%,5.9235%,8.1197%,957035037
2024-01-04,300672,国科微,-2.1955%,-1.9976%,-1.8605%,1.1811%,996779379
2024-01-05,600200,退市苏吴,-0.4171%,-0.2174%,-0.9601%,0.5435%,563098484
2024-01-08,001314,亿道信息,2.5629%,2.7656%,-3.7714%,4.3845%,720277573
2024-01-09,001269,欧晶科技,-1.4266%,-1.2279%,3.3137%,6.3476%,484544200
2024-01-10,600186,莲花控股,-2.6753%,-2.4779%,0.5073%,4.0708%,644931952
2024-01-11,603220,中贝通信,-0.4037%,-0.2040%,-2.8225%,0.4789%,614471332
2024-01-12,002085,万丰奥威,-1.4358%,-1.2371%,-0.2000%,2.2680%,754176624
2024-01-15,601975,招商南油,-0.8296%,-0.6303%,0.1149%,0.3152%,801790761
2024-01-16,002670,国盛证券,-1.7290%,-1.5306%,-0.2000%,3.5714%,884078420
2024-01-17,002590,万安科技,-1.0721%,-0.8730%,4.8583%,5.0633%,423561301
2024-01-18,300017,网宿科技,-1.0782%,-0.8792%,-9.2339%,-0.7536%,1220978174
2024-01-19,601519,大智慧,-1.1818%,-0.9828%,-1.5500%,4.6683%,1408579853
2024-01-22,002670,国盛证券,-2.2771%,-2.0792%,5.8336%,8.9109%,1110395964
2024-01-23,605577,龙版传媒,-4.4478%,-4.2521%,2.7810%,6.4155%,1014787163
2024-01-24,601595,上海电影,-0.2812%,-0.0813%,5.2413%,8.6985%,734347672
2024-01-25,300339,润和软件,-0.2000%,0.0000%,-3.2104%,0.6791%,1066723160
2024-01-26,002761,浙江建投,-0.7107%,-0.5112%,-4.0815%,3.0675%,823228373
