序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
59,000963,华东医药,2021-10-12,30.395,2021-11-26,32.094,16400,5.4834%,27347.17,33,信号
60,300179,四方达,2021-10-12,11.81,2021-10-25,11.218,9100,-5.1036%,-5487.56,9,止损
61,300373,扬杰科技,2021-10-12,46.93,2021-12-17,65.184,10600,38.7569%,192897.53,48,信号
62,601118,海南橡胶,2021-10-12,5.581,2021-10-29,5.185,89500,-7.1776%,-35868.57,13,止损
63,300162,雷曼光电,2021-10-13,12.086,2021-11-05,12.214,41300,0.9568%,4778.41,17,信号
64,600881,亚泰集团,2021-10-13,3.672,2021-11-01,3.428,136100,-6.7262%,-33630.32,13,信号
65,000636,风华高科,2021-10-14,28.717,2021-11-03,27.459,17400,-4.4765%,-22379.47,14,信号
66,002612,朗姿股份,2021-10-14,34.787,2021-11-11,34.303,14300,-1.4914%,-7422.99,20,信号
67,600771,广誉远,2021-10-15,32.036,2021-10-29,28.296,15600,-11.7632%,-58817.16,10,止损
68,002129,TCL中环,2021-10-18,39.208,2021-11-08,37.473,12700,-4.5190%,-22513.04,15,信号
69,002607,中公教育,2021-10-18,11.706,2021-10-22,10.995,42700,-6.1708%,-30859.30,4,信号
70,002747,埃斯顿,2021-10-19,27.075,2021-12-01,27.417,18400,1.1647%,5805.35,31,信号
71,603396,金辰股份,2021-10-19,149.185,2021-10-28,136.402,1300,-8.6598%,-16803.26,7,止损
72,002706,良信股份,2021-10-21,14.88,2021-12-01,17.904,30300,20.1991%,91118.61,29,信号
73,300568,星源材质,2021-10-21,35.839,2021-11-08,30.407,13900,-15.2419%,-75966.90,12,止损
74,000651,格力电器,2021-10-22,28.896,2021-10-28,25.239,16200,-12.7431%,-59682.99,4,止损
75,600690,海尔智家,2021-10-25,24.45,2021-11-09,22.616,4200,-7.5956%,-7803.87,11,信号
